Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.qowot.icu
sha256,DCRat payload (confidence level: 75%),0ba336f1f203476bbbe192e4bc9d6cb5fe2c0fc7f8bc044f2e6507588e9e5f21
domain,Unknown Stealer payload delivery domain (confidence level: 100%),roomsvisitor999837.world
domain,Unknown Stealer payload delivery domain (confidence level: 100%),roomnum-998388.world
domain,Unknown Stealer payload delivery domain (confidence level: 100%),alphaprmlanding.pages.dev
domain,Unknown Stealer payload delivery domain (confidence level: 100%),digi-captcha.hfl388066.workers.dev
domain,Unknown Stealer payload delivery domain (confidence level: 100%),educational008.pages.dev
domain,Unknown Stealer payload delivery domain (confidence level: 100%),education009.pages.dev
domain,Unknown Stealer payload delivery domain (confidence level: 100%),dunaluxablak.hu
domain,Unknown Stealer payload delivery domain (confidence level: 100%),centerforregionalconnectivityanddevelopment.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),townofwayneok.org
domain,Unknown Stealer payload delivery domain (confidence level: 100%),virtunforge.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),tradearrabia.net
domain,Unknown Stealer payload delivery domain (confidence level: 100%),shared.anteus.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),royaltrucklog.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),youtube-watch-vwt16hzkwhdy.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),fhfhjfhjfhejejrre.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),youtude.net
domain,Unknown Stealer payload delivery domain (confidence level: 100%),cl0udflare-verif-7645723.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),bookinglooking.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),viperrat.pages.dev
domain,Unknown Stealer payload delivery domain (confidence level: 100%),bookisnd.it.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),bookpart1.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),bookpartn.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),bookingguesthelp.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),talentdock.world
domain,Unknown Stealer payload delivery domain (confidence level: 100%),bookinghelpguestr.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),booklngsecurity.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),cf-captcha.com
domain,ClearFake payload delivery domain (confidence level: 100%),check.pifos.icu
