Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.losex.icu
sha256,Sliver payload (confidence level: 100%),f9a434fbe25072fc39d489bc5d81199a400df250de95b79478f9fd72e7cb24fd
sha256,Sliver payload (confidence level: 100%),3998df95eaaf37c8dbc24241bd7308c3c084f43ad2f86907074dc8c19dcd2afe
url,Sliver payload delivery URL (confidence level: 100%),http://64.94.85.91/systemd
url,Sliver payload delivery URL (confidence level: 100%),http://64.94.85.91/svchost.exe
url,Sliver payload delivery URL (confidence level: 100%),http://ns1.china-net-proxy.com/svchost.exe
url,Sliver payload delivery URL (confidence level: 100%),http://ns1.china-net-proxy.com/systemd
url,Lumma Stealer botnet C2 (confidence level: 50%),https://sketctedpilld.digital/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://mosquwinteck.digital/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://surveycupboar.digital/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://physicalsnowwer.digital/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://girflekoma.digital/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://fallerestez.digital/api
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),sketctedpilld.digital
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),mosquwinteck.digital
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),surveycupboar.digital
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),physicalsnowwer.digital
url,Coper botnet C2 (confidence level: 100%),https://blazinghorizon.xyz/mdk5zdhlnzq4mwy3/
url,Coper botnet C2 (confidence level: 100%),https://shadowhaven.xyz/mjfjnzk4zgq1mdyz/
url,Coper botnet C2 (confidence level: 100%),https://emberisle.xyz/mjfjnzk4zgq1mdyz/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.222.178.113|443
domain,Hook botnet C2 domain (confidence level: 100%),techniccell.click
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),181.162.179.163|8080
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.topzbuscartio.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.police-mt077.website
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.ufabetgameslover.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.ufabets.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.topgadgettechnewz1.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.bottomofbusiness.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.digitalbusineszclub.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.gamesoftotoandtotoof.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.paranewslivesab.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.bestteamofufabetgames.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.ashionof121.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.ufatopgames.website
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.homeimprovementbox.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.fivetopbusiness.website
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.welovetotogames.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.fieldznorms.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.homeimprovementbloopers.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.tectotechnologynewzz.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.totogames1network.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.totogames1network.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.toriters1.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.ufabetgames1010.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.time2levelz.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.bottomofbusiness.website
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),103.101.178.170|448
url,DCRat botnet C2 (confidence level: 100%),http://cc28022.tw1.ru/l1nc0in.php
url,DCRat botnet C2 (confidence level: 100%),http://a1087552.xsph.ru/257d2d6e.php
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),test250223.iqiyib.icu
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),103.246.245.125|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),103.68.251.170|4455
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),196.251.80.186|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),194.238.29.164|25
ip-dst|port,SectopRAT botnet C2 server (confidence level: 100%),144.76.103.92|15647
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.businesswithloyal.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.toriters7.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.levelfrstdm.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.homesemupo.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.businesssabart.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.apexhomeimprovement.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.games777games.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.apexhomeimprovement.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.gamesofalltotobest.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.ufabetgames1010.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.toplavishnewz43.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.mindfulwellnesshq.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.businessnewznetwork.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.fortlivenewzshub.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.takeufagame1111.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.techspilotx.website
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.pointtotechiworld.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.bottomofbusiness.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.pointtotechiworld.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.mindfulwellnesshq.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.police-mt077.website
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.bestonenewznet.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.levelfrstdm.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.homeimprovementbusiness.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.onlinegameshub.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cavite.eu
