Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.sifum.icu
domain,FAKEUPDATES payload delivery domain (confidence level: 75%),jagsrus.com
url,FAKEUPDATES payload delivery URL (confidence level: 75%),https://jagsrus.com/5r6y.js
url,FAKEUPDATES payload delivery URL (confidence level: 75%),https://skatkat.com/5r4y.js
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),45.88.186.43|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),85.215.173.244|80
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),68.168.220.76|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.116.122|7707
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.73.189|21
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.73.189|443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),176.65.138.18|8089
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),8.218.196.181|7443
ip-dst|port,MooBot botnet C2 server (confidence level: 100%),107.189.28.127|80
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),147.185.221.27|33117
domain,NjRAT botnet C2 domain (confidence level: 75%),teaching-integrate.gl.at.ply.gg
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),lib.intuitivaccountants.com
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),tags.intuitupdate-us.com
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),rum.api.intuitupdate-us.com
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),eventbus.intuitivaccountants.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),185.121.13.182|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.137.98.198|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),18.166.104.119|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),172.111.151.97|80
domain,Hook botnet C2 domain (confidence level: 100%),autodiscover.srv782461.hstgr.cloud
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),37.120.208.40|53018
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),181.206.158.190|8848
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),27.124.41.253|65503
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),51.15.194.103|4433
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),182.92.113.13|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.126.134.200|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),138.68.128.150|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),149.28.164.69|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),79.137.57.203|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),38.80.189.115|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.41.110.16|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.124.90.123|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.124.90.123|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.38.59.78|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),143.42.196.228|3000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),68.183.228.164|433
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),161.35.198.121|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.105.179.35|443
domain,Bashlite botnet C2 domain (confidence level: 100%),cpcalendars.continueoraweb.com
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),89.34.230.119|19000
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),89.34.230.184|19000
domain,ClearFake payload delivery domain (confidence level: 100%),check.codux.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.codux.icu/gkcxv.google
url,Lumma Stealer payload delivery URL (confidence level: 100%),https://r1.juggleshiftless.live/bceff6c50e52949809b37dad0e10534d3a0c81682a3fb036.potm
domain,Lumma Stealer payload delivery domain (confidence level: 100%),r1.juggleshiftless.live
url,Lumma Stealer botnet C2 (confidence level: 75%),https://moonlitwayq.run/qiod
url,Vidar botnet C2 (confidence level: 100%),https://qo.ap.4t.com/
domain,Vidar botnet C2 domain (confidence level: 100%),qo.ap.4t.com
url,Coper botnet C2 (confidence level: 80%),https://hizliveguvenilirshopbutik.com/mzmxnze5mjexy2q3/
url,Coper botnet C2 (confidence level: 80%),https://pre234232iumserviceds.xyz/mzmxnze5mjexy2q3/
url,Coper botnet C2 (confidence level: 80%),https://pre242252iumserviceds.xyz/mzmxnze5mjexy2q3/
url,Coper botnet C2 (confidence level: 80%),https://pre221252iumserviceds.xyz/mzmxnze5mjexy2q3/
url,Coper botnet C2 (confidence level: 80%),https://3413pre2343252iumserviceds.xyz/mzmxnze5mjexy2q3/
url,Coper botnet C2 (confidence level: 80%),https://532343252iumserviceds.xyz/mzmxnze5mjexy2q3/
url,Coper botnet C2 (confidence level: 80%),https://63343252iumserviceds.xyz/mzmxnze5mjexy2q3/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),65.49.234.216|443
ip-dst|port,BlackShades botnet C2 server (confidence level: 50%),16.170.172.66|104
ip-dst|port,BlackShades botnet C2 server (confidence level: 50%),16.170.172.66|55554
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),52.50.88.125|19000
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),95.28.241.155|25565
ip-dst|port,Kimsuky botnet C2 server (confidence level: 50%),158.247.242.169|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),202.61.227.208|1365
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),182.255.44.44|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),34.101.49.31|3333
url,Amadey botnet C2 (confidence level: 50%),http://195.82.147.98/0bdh3sqpbd/login.php
url,Lumma Stealer botnet C2 (confidence level: 50%),https://harmystpeo.help/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://crackystart.help/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://borderkjsyui.shop/api
url,Hook botnet C2 (confidence level: 50%),http://176.65.138.18/
url,Hook botnet C2 (confidence level: 50%),http://91.211.250.233/
url,Hook botnet C2 (confidence level: 50%),http://176.65.137.229/
url,Hook botnet C2 (confidence level: 50%),http://91.92.46.8/
url,Hook botnet C2 (confidence level: 50%),http://144.172.89.56/
domain,DarkComet botnet C2 domain (confidence level: 50%),christmas-flooring.gl.at.ply.gg
domain,Glupteba botnet C2 domain (confidence level: 50%),roundworld.club
url,Glupteba botnet C2 (confidence level: 50%),http://postnews.club/cl.exe
url,Glupteba botnet C2 (confidence level: 50%),http://roundworld.club
url,Glupteba botnet C2 (confidence level: 50%),http://roundworld.club/app/app.exe
url,Glupteba botnet C2 (confidence level: 50%),https://blackempirebuild.com
url,Glupteba botnet C2 (confidence level: 50%),https://okonewacon.com
url,Glupteba botnet C2 (confidence level: 50%),https://venoxcontrol.com
url,Glupteba botnet C2 (confidence level: 50%),https://venoxcontrol.com/api/install-failure
domain,Orcus RAT botnet C2 domain (confidence level: 50%),christian-footwear.gl.at.ply.gg
ip-dst|port,Orcus RAT botnet C2 server (confidence level: 50%),147.185.221.27|33312
domain,Quasar RAT botnet C2 domain (confidence level: 50%),dakar.wohowoho.com
domain,Quasar RAT botnet C2 domain (confidence level: 50%),journal-promotions.gl.at.ply.gg
domain,Remcos botnet C2 domain (confidence level: 50%),klm20.zapto.org
domain,Remcos botnet C2 domain (confidence level: 50%),nextgenerationzynkobsupporterlovesgood.duckdns.org
ip-dst|port,Remcos botnet C2 server (confidence level: 50%),216.9.225.168|13646
ip-dst|port,Remcos botnet C2 server (confidence level: 50%),216.9.225.168|13647
ip-dst|port,Remcos botnet C2 server (confidence level: 50%),216.9.225.168|34040
ip-dst|port,Remcos botnet C2 server (confidence level: 50%),216.9.225.168|34050
domain,XWorm botnet C2 domain (confidence level: 50%),xml-processor.gl.at.ply.gg
url,Unknown malware payload delivery URL (confidence level: 50%),https://hr-migros.pages.dev/
url,Unknown malware payload delivery URL (confidence level: 50%),http://82.146.62.232/
url,Unknown malware payload delivery URL (confidence level: 50%),https://expressgourmande.com/
url,Unknown malware payload delivery URL (confidence level: 50%),https://amun.jintsume.net/
url,Unknown malware payload delivery URL (confidence level: 50%),https://vtmarkets.top/
url,Unknown malware payload delivery URL (confidence level: 50%),https://fourthecuck.net/
url,Unknown malware payload delivery URL (confidence level: 50%),https://csgoempire.market/
url,Unknown malware payload delivery URL (confidence level: 50%),https://kicklive.tv/
url,Unknown malware payload delivery URL (confidence level: 50%),https://booklngsecurity.com/
url,Unknown malware payload delivery URL (confidence level: 50%),https://viperrat.pages.dev/
