Type,Comment,Value
url,DCRat botnet C2 (confidence level: 100%),http://cp52181.tw1.ru/l1nc0in.php
domain,BumbleBee botnet C2 domain (confidence level: 100%),jbx8p0a58f.click
url,Formbook botnet C2 (confidence level: 50%),http://www.iesenthalspiral.xyz/i62s/
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fe9a381a.site
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),108.174.197.90|7000
domain,AsyncRAT botnet C2 domain (confidence level: 100%),kmdsanarchy.duckdns.org
url,XWorm payload delivery URL (confidence level: 100%),http://barleyjack.com/rvb2
url,Formbook botnet C2 (confidence level: 50%),http://www.cybitt.com/n8it/
domain,Formbook botnet C2 domain (confidence level: 50%),plaquepsoriasismedcareus.com
domain,Vidar botnet C2 domain (confidence level: 100%),ffbrowse.com
ip-dst|port,RedTail botnet C2 server (confidence level: 75%),80.94.92.146|2137
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.155.7.173|89
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fa1b89de.space
ip-dst|port,Eye Pyramid botnet C2 server (confidence level: 75%),185.177.74.207|443
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f2e9d4a9.fun
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),39.52.130.16|40500
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),5.235.152.34|40500
domain,Formbook botnet C2 domain (confidence level: 50%),www.v332.top
domain,DarkWatchman botnet C2 domain (confidence level: 100%),9e8fae09.online
domain,ClearFake botnet C2 domain (confidence level: 50%),check.jeka.site
url,Lumma Stealer botnet C2 (confidence level: 100%),https://cablecrossedi.shop/api
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f0577926.site
domain,Formbook botnet C2 domain (confidence level: 50%),www.ordfzjprhzvxahbq.shop
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),69.67.151.104|40500
ip-dst|port,Hook botnet C2 server (confidence level: 100%),194.233.79.11|8082
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),51.222.26.211|80
domain,BumbleBee botnet C2 domain (confidence level: 100%),btl89a3rwn.click
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),95.80.182.32|40500
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fa629f23.shop
domain,Quasar RAT botnet C2 domain (confidence level: 100%),search-varies.gl.at.ply.gg
domain,XWorm botnet C2 domain (confidence level: 100%),head-annoying.gl.at.ply.gg
url,Formbook botnet C2 (confidence level: 50%),http://www.dvjnwxe.xyz/da16/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),frershtrail.cyou
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),154.205.137.139|4043
url,Lumma Stealer botnet C2 (confidence level: 100%),https://freshideastop.top/api
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),restfulrletreats.cyou
url,Formbook botnet C2 (confidence level: 50%),http://www.sporerindividual.com/n8it/
domain,DarkComet botnet C2 domain (confidence level: 100%),jani1991.no-ip.org
url,Lumma Stealer botnet C2 (confidence level: 100%),https://sxereneviews.cyou/api
url,Formbook botnet C2 (confidence level: 50%),http://www.elplinkai.africa/gd08/
domain,CyberGate botnet C2 domain (confidence level: 100%),rema.no-ip.biz
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.109.178.54|9999
domain,BumbleBee botnet C2 domain (confidence level: 100%),fi7anseaj7.click
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f152633e.site
domain,Formbook botnet C2 domain (confidence level: 50%),www.jvdn.online
url,DCRat botnet C2 (confidence level: 100%),http://emerso63.beget.tech/imagedle.php
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f173e483.site
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fbd691cb.online
url,Lumma Stealer botnet C2 (confidence level: 100%),https://implodehosu.click/api
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fc249595.space
url,Formbook botnet C2 (confidence level: 50%),http://www.mxjhrmtutghknzgsgmp.shop/i62s/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),dreamvislta.cyou
domain,DarkWatchman botnet C2 domain (confidence level: 100%),ffd9a037.fun
url,Lumma Stealer botnet C2 (confidence level: 100%),https://wavessdemotion.today/api
domain,Unknown malware botnet C2 domain (confidence level: 100%),www.universalfeelz.shop
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f9adea6c.online
url,Unknown malware botnet C2 (confidence level: 100%),http://198.46.178.132:8690/supershell/login
domain,Formbook botnet C2 domain (confidence level: 50%),www.giwfndr.xyz
domain,BumbleBee botnet C2 domain (confidence level: 100%),m8upx4ecup.click
domain,CyberGate botnet C2 domain (confidence level: 100%),systemvirus1.no-ip.org
url,Formbook botnet C2 (confidence level: 50%),http://www.uasubre.pro/i62s/
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f26a80b4.shop
domain,ClearFake payload delivery domain (confidence level: 100%),check.swung.site
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fa629f23.fun
url,Lumma Stealer botnet C2 (confidence level: 100%),https://clsevermarketing.click/api
domain,DarkComet botnet C2 domain (confidence level: 100%),nasload.hopto.org
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),139.64.59.135|443
domain,Formbook botnet C2 domain (confidence level: 50%),www.6qoqe555r.shop
md5,Trigona payload (confidence level: 50%),c28b33f7365f9dc72cc291d13458f334
domain,BumbleBee botnet C2 domain (confidence level: 100%),jlakanjcdg.click
domain,BumbleBee botnet C2 domain (confidence level: 100%),fb25x2ju7i.click
domain,XWorm botnet C2 domain (confidence level: 100%),hsd1.in.comcast.net
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),66.228.45.62|443
url,Formbook botnet C2 (confidence level: 50%),http://www.56788.loan/b101/
domain,BumbleBee botnet C2 domain (confidence level: 100%),7bas9hk86p.click
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),205.234.193.208|4782
domain,CyberGate botnet C2 domain (confidence level: 100%),6168738.no-ip.org
domain,ClearFake botnet C2 domain (confidence level: 50%),check.yiui.site
domain,Formbook botnet C2 domain (confidence level: 50%),www.hat10022.top
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f9eb6859.online
domain,Formbook botnet C2 domain (confidence level: 50%),www.lt-amavi88.shop
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),185.194.125.197|40500
