Type,Comment,Value
domain,Formbook botnet C2 domain (confidence level: 50%),www.eplace-my-547502363.click
ip-dst|port,Pink botnet C2 server (confidence level: 100%),64.176.183.187|38990
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.122.65|5000
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),2.185.225.98|40500
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),15.228.201.119|5984
domain,ClearFake payload delivery domain (confidence level: 100%),check.zxdsq.site
domain,XWorm botnet C2 domain (confidence level: 100%),lead-passage.gl.at.ply.gg
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),34.70.24.145|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),35.222.69.159|443
domain,CyberGate botnet C2 domain (confidence level: 100%),loto.zapto.org
domain,BumbleBee botnet C2 domain (confidence level: 100%),2wqfxxycnk.click
domain,XWorm botnet C2 domain (confidence level: 100%),sony-duties.gl.at.ply.gg
domain,XWorm botnet C2 domain (confidence level: 100%),provides-looksmart.gl.at.ply.gg
domain,Formbook botnet C2 domain (confidence level: 50%),weytek.com
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fe842b6f.shop
domain,ClearFake payload delivery domain (confidence level: 100%),check.unmovable.online
domain,DarkWatchman botnet C2 domain (confidence level: 100%),9243e231.store
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),80.80.220.62|40500
domain,DarkWatchman botnet C2 domain (confidence level: 100%),faf20c6e.site
url,Formbook botnet C2 (confidence level: 50%),http://www.eeqalkhalij.shop/b101/
domain,BumbleBee botnet C2 domain (confidence level: 100%),m9a2qfmqay.click
ip-dst|port,Mirai payload delivery server (confidence level: 100%),115.55.63.117|56833
domain,CyberGate botnet C2 domain (confidence level: 100%),anmelden1231.zapto.org
url,Stealc payload delivery URL (confidence level: 50%),http://94.156.68.92/7c1aafa722640896/sqlite3.dll
domain,Unknown malware payload delivery domain (confidence level: 100%),coinomi.is
domain,Formbook botnet C2 domain (confidence level: 50%),www.emiok.net
domain,Formbook botnet C2 domain (confidence level: 50%),e-volutionsf.com
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),clusterbry.cyou
url,Amadey botnet C2 (confidence level: 100%),http://138.201.203.107/9bdc8sq/index.php
url,Mozi payload delivery URL (confidence level: 50%),http://59.95.95.87:33776/mozi.m
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fd000830.space
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),5.83.218.75|443
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f45848da.fun
url,Formbook botnet C2 (confidence level: 50%),http://www.sporerindividual.com/n8it/
url,ClearFake payload delivery URL (confidence level: 75%),https://u1.landladyscreenconnected.shop/dedushko1.mp4
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.49.126.235|2004
