Type,Comment,Value
domain,Unknown malware payload delivery domain (confidence level: 100%),analytiscnode.com
domain,Unknown malware payload delivery domain (confidence level: 100%),security.flreshieelds.com
domain,Unknown malware payload delivery domain (confidence level: 100%),wekosle.com
url,Unknown malware payload delivery URL (confidence level: 100%),https://wekosle.com/flare.msi
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),112.213.108.49|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),1.94.35.73|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),111.229.116.40|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),117.72.119.63|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),190.211.254.211|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),121.37.134.174|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),152.136.174.71|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.109.34.148|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),103.119.47.245|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),43.156.137.45|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.109.44.195|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),54.160.191.117|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),8.134.80.60|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.106.235|5000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.106.235|8808
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|2404
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|5900
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|808
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|119
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|49152
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|59470
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|4388
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|48481
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|6697
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|23769
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|790
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|47001
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|56249
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|25683
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|49501
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|52432
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|21583
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|41553
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|35456
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|49502
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|80
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|1024
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|5222
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|8088
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|12912
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),45.141.87.119|9000
url,DCRat botnet C2 (confidence level: 100%),http://304542cm.nyashware.ru/videomultilinuxpublic.php
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://3dmaine.com/d.js
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),3dmaine.com
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://kingdomholding.top/ss/index.js
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),kingdomholding.top
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://www.azaleacapital.com/zsos.zip
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),geo.cwlabtes.shop
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),1.12.243.192|5555
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),111.229.4.108|2096
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),154.204.35.239|8443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),81.68.225.205|5555
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),49.232.40.56|80
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),ecs-113-44-148-65.compute.hwclouds-dns.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.95.0.62|8888
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),205.181.174.34.bc.googleusercontent.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),119.3.165.233|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.40.127.134|6667
ip-dst|port,Aurotun Stealer botnet C2 server (confidence level: 100%),91.200.14.69|7712
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),192.159.99.164|3000
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|21
ip-dst|port,Orcus RAT botnet C2 server (confidence level: 100%),183.80.182.24|4444
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),144.86.22.200|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),107.161.24.157|3000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),165.22.212.255|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.119.17.88|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),78.47.139.33|5555
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),64.23.240.119|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.61.13.219|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),103.181.183.124|4444
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),51.68.138.43|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),132.226.135.125|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),122.179.157.57|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),165.227.189.45|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),144.172.104.67|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),177.153.62.28|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.36.195.214|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),207.154.199.33|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.228.68.25|4443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),157.245.246.188|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),181.49.232.126|3333
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),45.155.250.139|3121
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),202.91.32.145|6666
ip-dst|port,Unknown RAT botnet C2 server (confidence level: 75%),45.81.23.144|8041
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),154.204.35.230|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),101.43.166.60|4444
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.36.27.251|8081
url,Amadey botnet C2 (confidence level: 100%),http://mi.ultimateamplifier.world/dash/png/index.php
url,ACR Stealer botnet C2 (confidence level: 100%),https://b1.plasma-copilot.life/up
url,ACR Stealer botnet C2 (confidence level: 100%),https://b1.plasma-copilot.life/up/b
url,ACR Stealer botnet C2 (confidence level: 100%),https://b1.plasma-copilot.life/up/f
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),battlefled.top
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),14.128.51.168|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),149.104.30.130|8080
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),13.217.204.144|443
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),172.235.16.243|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),101.201.106.213|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),159.100.9.105|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),65.108.214.194|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),144.172.96.208|31337
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),4.208.57.51|3333
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),118.122.8.155|8594
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),47.129.155.195|2444
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),160.178.214.144|5006
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),160.178.214.144|8140
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),113.44.39.1|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),31.128.212.134|7777
url,Unknown malware botnet C2 (confidence level: 50%),http://38.12.252.74:8888/supershell/login
