Type,Comment,Value
md5,Akira payload (confidence level: 50%),1d895cf4391b817e54fb9ec9d8e65f7e
md5,Akira payload (confidence level: 50%),03b9887dee2c3c825b6a6c0df1d104ad
md5,Akira payload (confidence level: 50%),4d79fb750955ec8702cb79cfdb36e66b
md5,Akira payload (confidence level: 50%),c387b2eb96bb137cdd54220d920edce9
md5,Akira payload (confidence level: 50%),be1f993b1d26e6baa3c8f7dc0cb63472
md5,Akira payload (confidence level: 50%),28a72219951ce207601e120c9d590d47
md5,Akira payload (confidence level: 50%),39a14bfc65e6f5e13fc2817206a39cad
md5,Akira payload (confidence level: 50%),977452c8332167f83a417b079169ac8a
md5,Akira payload (confidence level: 50%),e72e0069e1fb4328e2704bda97fb4a40
url,LokiBot botnet C2 (confidence level: 100%),http://94.156.177.41/droid/five/pvqdq929bsx_a_d_m1n_a.php
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),38.60.136.235|3778
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),16.170.104.183|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),103.242.12.203|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),118.35.10.88|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),39.107.72.158|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),60.204.218.12|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),101.43.252.53|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),58.87.96.198|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),193.37.69.43|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),103.248.228.159|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),192.3.170.191|443
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://nackt-bilder.top/vv/select.js
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),nackt-bilder.top
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://nackt-bilder.top/vv/ddas.php
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://viralmarketingsuite.com/tera.zip
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),158.160.153.28|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),122.10.25.26|808
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),51.38.146.210|3000
ip-dst|port,pupy botnet C2 server (confidence level: 100%),95.181.213.98|8443
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),209.182.225.150|18080
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),148.135.13.80|9696
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),106.14.53.177|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),45.80.158.171|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.208.156.153|1858
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),188.34.167.44|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.74.153.220|7443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.66.157.21|7443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),38.249.113.218|7443
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),45.76.144.143|443
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.246.3.182|135
domain,ERMAC botnet C2 domain (confidence level: 100%),acc.hu.results.plasma.synlab.com
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),176.65.143.149|19000
url,DCRat botnet C2 (confidence level: 100%),http://831471cm.nyashvibe.ru/eternalvmpipe_serverprotectsqlflowerdlelocal.php
url,KongTuke payload delivery URL (confidence level: 100%),https://dnsgo-windowsds.live/z9jthrril
domain,KongTuke payload delivery domain (confidence level: 100%),dnsgo-windowsds.live
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),nzyeyghzrr333b.top
url,FAKEUPDATES payload delivery URL (confidence level: 100%),http://nzyeyghzrr333b.top/f15.svg
domain,FAKEUPDATES botnet C2 domain (confidence level: 100%),hjdfikgmhficchm.top
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),38.60.136.129|3778
url,Unknown malware payload delivery URL (confidence level: 100%),https://www.igorkalinin.com/windows.en.html
url,Unknown malware payload delivery URL (confidence level: 100%),http://142.93.255.45/
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),11xiaoshuju.com
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),www.cbzha.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),194.32.142.87|443
ip-dst|port,Sliver botnet C2 server (confidence level: 90%),3.137.181.242|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),179.13.1.144|8082
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),193.26.115.106|8808
url,Unknown malware payload delivery URL (confidence level: 100%),https://zdravaprehrana.ba/temp/
ip-dst|port,Hook botnet C2 server (confidence level: 100%),213.139.72.15|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),138.255.160.200|2404
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|7000
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|16005
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|22222
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|56794
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|57415
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|465
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|9201
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|46853
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|47581
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|49629
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|54308
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|5275
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|60357
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|113
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|427
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.158.173.211|18246
domain,Havoc botnet C2 domain (confidence level: 100%),www.detfec.com
domain,Havoc botnet C2 domain (confidence level: 100%),spin.tamsonvn.com
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),13.60.38.245|443
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),203.104.42.92|2234
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.208.29.116|5000
domain,ERMAC botnet C2 domain (confidence level: 100%),acc.hu.webreqadmin.plasma.synlab.com
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),217.154.55.68|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),64.23.240.119|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),95.142.40.184|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),132.220.9.187|3334
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),134.175.121.153|5044
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),149.28.99.199|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.172.199.93|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),194.113.211.9|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),217.114.7.115|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.217.248.77|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),181.212.195.228|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),64.23.169.97|3333
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),160.187.199.6|10002
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),213.209.150.143|19000
url,Unknown malware payload delivery URL (confidence level: 100%),http://209.126.9.234/
sha1,KrakenKeylogger payload (confidence level: 95%),000f566767eadc0cce4829b861b9faea77c25294
sha256,KrakenKeylogger payload (confidence level: 95%),c32c057bb0513403c0b41c4c7c466f8d24dd222ee77a33b0f11daaa586319c2b
md5,KrakenKeylogger payload (confidence level: 95%),ece730dd393e1923b46cf75472764515
sha1,Loki Password Stealer (PWS) payload (confidence level: 95%),6e054ef38c83428afef78861769cff74fc6c60ed
sha256,Loki Password Stealer (PWS) payload (confidence level: 95%),a6c286bfeda980d98802ccdc481d8e0d22ef3d3a302cf6febbc206069a64f821
md5,Loki Password Stealer (PWS) payload (confidence level: 95%),4468f130aed1f7c3dc2be59423aef0cb
sha1,Loki Password Stealer (PWS) payload (confidence level: 95%),d6860918222ebdc46e51ec1645dc46a540a503be
sha256,Loki Password Stealer (PWS) payload (confidence level: 95%),605acd8daeed0286629f52eab2267a433f3dfc9f4c3127a94881b96fbf389d97
md5,Loki Password Stealer (PWS) payload (confidence level: 95%),ac81788dbbee174f6b6433cab25506d2
sha1,tRat payload (confidence level: 95%),174f8afdbbe2e4c421d3aa097ff089e9a87aa0ce
sha256,tRat payload (confidence level: 95%),bb8cf06509d22d8be195bf2cfd3a8c7707a17fe58f7ba65ce1943fbb0fb13911
md5,tRat payload (confidence level: 95%),febfb7141e8a9dc5c161e387e3f40c17
sha1,DCRat payload (confidence level: 95%),60dc5079293e1e289ea180d357f3fde284af76c0
sha256,DCRat payload (confidence level: 95%),7facfdf3d98304febbbd59a779b7fdd28eb7bfe4838836aea81e28ba7c56fa61
md5,DCRat payload (confidence level: 95%),26bbf3ac31a7eb32bf90cd2c7a41fb35
sha1,troystealer payload (confidence level: 95%),44d3a7b343cb7c94d7b854abeab2288bdea7e310
sha256,troystealer payload (confidence level: 95%),7112567cad1cf4b85f3a4b22540b33ae5fbcc95134d6fa1ed2eb8e30f3d11b6c
md5,troystealer payload (confidence level: 95%),6156f20269085ebbdbfca4d6d2e65fd1
sha1,AsyncRAT payload (confidence level: 95%),3c0ca03615315f2ddd7ea32e554715839255ea3c
sha256,AsyncRAT payload (confidence level: 95%),6c3b32c5943348676c2b0e418c5f08e65fe34ea00439c67c1959180a656736ed
md5,AsyncRAT payload (confidence level: 95%),e2b2749a4897f9de76088f1ce20b42b0
sha1,SombRAT payload (confidence level: 95%),6aef592271add5e1a0222479b5c2a4143f4cd5e4
sha256,SombRAT payload (confidence level: 95%),ac03cb64fa61177f1c100a402ba4a5c1a96b99ff8d9cb4398adc33822d99625e
md5,SombRAT payload (confidence level: 95%),d627f59f661818877fb869f16ec20e34
sha1,Rhadamanthys payload (confidence level: 95%),c03bd7b00d733c961aff1b55b2d300932f0f35c2
sha256,Rhadamanthys payload (confidence level: 95%),402c20125cc683ad940ebd9e4395cf53f0dc5308726ac0689bd831b2783f24cc
md5,Rhadamanthys payload (confidence level: 95%),9e835b195b462eb8adca07d686440e7b
sha1,GCleaner payload (confidence level: 95%),4585145d6d384e1485620a8721d4489a9e1ad6c1
sha256,GCleaner payload (confidence level: 95%),73bd93d1b8b91a5ecf1917d76dfe26b7edf89cd5b8697c885487d6f46124fc59
md5,GCleaner payload (confidence level: 95%),136d740b5bdac09523dbe9255962a03d
sha1,RokRAT payload (confidence level: 95%),9831df5b3cc7364d10d052dc981e14047e65562b
sha256,RokRAT payload (confidence level: 95%),cfda918a498cadebe365b390d2cbb3b8a3b85f6066947a6282f182cd74632c0f
md5,RokRAT payload (confidence level: 95%),895fdcb9dd3c5548e34d529fdb4db76f
sha1,Coinminer payload (confidence level: 95%),d67e859da398aaef0f1059d8c436d6a4d6c3f557
sha256,Coinminer payload (confidence level: 95%),23ea45a7e2bf94050a7e38c4127c8b0a769689fe0a5ee2624172fa189920f641
md5,Coinminer payload (confidence level: 95%),324f4227454b3dd1b6d19426daaf63c2
sha1,AsyncRAT payload (confidence level: 95%),92bf13e5db58c70c3f42b70b413ccd6940799415
sha256,AsyncRAT payload (confidence level: 95%),1220783818310bddcfac52fd508258919fa54f3a444b9933320d352b8aeee1a1
md5,AsyncRAT payload (confidence level: 95%),62cbbc9389b6829b6e9bd96ab3e9a6ce
sha1,Cobalt Strike payload (confidence level: 95%),1a739c5b304baf2aeef9bfb0be8cf7f9d62a15f0
sha256,Cobalt Strike payload (confidence level: 95%),cac1ec8f6d73f15d1e6426c45b766bf61d89cc091e83d87be52287d26481b89f
md5,Cobalt Strike payload (confidence level: 95%),0efb80c9bfe9bd3ab914cf9c82d80726
sha1,Quasar RAT payload (confidence level: 95%),86198c7093edfc9a52ffa598f8bd231de8a5aec8
sha256,Quasar RAT payload (confidence level: 95%),2ef3dfb81b9fda0a21069e75c913a89071a0e7a23e73c9d5eb0064b4a3cc54e4
md5,Quasar RAT payload (confidence level: 95%),161b60df9df763d775e255a782e7c4b4
sha1,Formbook payload (confidence level: 95%),482ab3f4c1fc299d2097c3084a549c9b721cbf79
sha256,Formbook payload (confidence level: 95%),ebd2046bad994314fb7af77d32ddc47327100bd8b9607bc7567dfcf2bf701e32
md5,Formbook payload (confidence level: 95%),20a1551ba84e0e078645adfbdfeaf6ee
sha1,Luca Stealer payload (confidence level: 95%),0ce36ec57b3590e8ce8aa97677e7f3310d85b132
sha256,Luca Stealer payload (confidence level: 95%),4cc9b7c76fe464fb0b158a2b4fd41f60a94d075b12cb8f849338baa54dc9d6e9
md5,Luca Stealer payload (confidence level: 95%),c787e88504b3c689da9a3978da4e32eb
sha1,KrakenKeylogger payload (confidence level: 95%),b042c77dedcf44e8b9036fbbd012d5ac1934954a
sha256,KrakenKeylogger payload (confidence level: 95%),b4a06f1be6894b9d689ca9a76ec35bde31c5fcd61311955dc3b286575d832dbb
md5,KrakenKeylogger payload (confidence level: 95%),c74c607e96caeb226c0b80767d8b00bc
sha1,Luca Stealer payload (confidence level: 95%),39218d3642e22295419bf082724d835a65f576c3
sha256,Luca Stealer payload (confidence level: 95%),2d33509252fdeb9bf8d49f168e34ca938d6bdc2730695b7394faf5d8f785d27d
md5,Luca Stealer payload (confidence level: 95%),1e5ecc2b0c036c2d268ad17708a2a56e
sha1,Luca Stealer payload (confidence level: 95%),1ca86005a0b052e912708a6ce0dc8e278530d9e5
sha256,Luca Stealer payload (confidence level: 95%),a083ba84f3ff9cc83191da42c43ade5a32d0bd39fd52ed18d79b493be800f918
md5,Luca Stealer payload (confidence level: 95%),9f42968b6bbcd1c0dba7190ef9420348
sha1,KrakenKeylogger payload (confidence level: 95%),e972789dde18b657a595cba023c3e41105c70737
sha256,KrakenKeylogger payload (confidence level: 95%),32c83ad0392161e5cb654bc817fd6798bf95f3afe176d28f38d326d375599968
md5,KrakenKeylogger payload (confidence level: 95%),47d82759e5ef3a45f14a8f478d9413ce
sha1,Loki Password Stealer (PWS) payload (confidence level: 95%),31c72a96d2a806eb1e8f1bb5e919cc56bf40d537
sha256,Loki Password Stealer (PWS) payload (confidence level: 95%),5e983a7357b431f6b43774024041e6bff410734e1ed8705de7032e3b5cf9f5ff
md5,Loki Password Stealer (PWS) payload (confidence level: 95%),59bea5049ba9c1d9a5cab63cd7731ce8
sha1, X-Files Stealer payload (confidence level: 95%),5cb8daf1185704a9772f07dcec2e499149517715
sha256, X-Files Stealer payload (confidence level: 95%),a90ba5a56422c0d2a41f28da056affd69cc8929e14dcdab1583ec96b50b8e28d
md5, X-Files Stealer payload (confidence level: 95%),70565dbd654937df2eaefc7c79941169
sha1,NetWire RC payload (confidence level: 95%),79203b169dad96ef9146ad889c93246342212903
sha256,NetWire RC payload (confidence level: 95%),3c06d49513b382926e58d44d2665672ad4c46cc5ee77f33dd4311ef21f004471
md5,NetWire RC payload (confidence level: 95%),a21e2cddfa0f2ab07f9280707f636475
sha1,AsyncRAT payload (confidence level: 95%),4ace5184aec37fc877d7fa0776c964ce39f30fe5
sha256,AsyncRAT payload (confidence level: 95%),84b6c02aab47dfd50b5263acc690cf9cc02088bdb743861aaaeae4ab6f6f0c64
md5,AsyncRAT payload (confidence level: 95%),446e8df27475033aa0192532d6dde181
sha1,NetWire RC payload (confidence level: 95%),d5459cfd28815ba00480942bf84f488efbc47354
sha256,NetWire RC payload (confidence level: 95%),9a3494bd12edf13aee7018aa2c06e42b016c03988d3a5678813898a655e1af9c
md5,NetWire RC payload (confidence level: 95%),f92cd489de2b5d82b4c3998b40cb3df8
sha1,NetWire RC payload (confidence level: 95%),47a26c1bb2efd0c16305815feb319979184d4757
sha256,NetWire RC payload (confidence level: 95%),82b904dd359a44923c0480cfd3e076b23114205aa650bf4032f79f78948a6dde
md5,NetWire RC payload (confidence level: 95%),1216cab6a06738d5295252a75225cba5
sha1,LPEClient payload (confidence level: 95%),4ae1eb347e7f73618824d1c5e58dd7f0eab31848
sha256,LPEClient payload (confidence level: 95%),383af7126e2e28748b4b75c66cc3406933a935931185d37b672a033cb193a26c
md5,LPEClient payload (confidence level: 95%),538aeeefac0c750a2f506a6f3815c7ae
sha1,Formbook payload (confidence level: 95%),3cb3a1d3d42ce3ff05f0e606ff6a5a0917673bfa
sha256,Formbook payload (confidence level: 95%),d61c67d836239747c0904c1ad87b9e3ad3fb9f448f3f193f73bfb5698213781e
md5,Formbook payload (confidence level: 95%),be9e5f02e355d2f8b3bba73a05a951de
sha1,NetWire RC payload (confidence level: 95%),46e46bfbbd751dff131baaa615c954c2ee63a123
sha256,NetWire RC payload (confidence level: 95%),26c2d341b16807d23201b058f187e44c10e38090b37f6fb43a4593bea51aadca
md5,NetWire RC payload (confidence level: 95%),952fbc8c0d09c1deb8a7331bbf7ee421
sha1,Agent Tesla payload (confidence level: 95%),b56a2a2b1944ff34da1f3900df105b8f385b45d3
sha256,Agent Tesla payload (confidence level: 95%),d5fda23e99237adee272c29a8e228bcaaa7348d56e474a7b2a32aeed0f99d8c4
md5,Agent Tesla payload (confidence level: 95%),af9db5501d4d4f4fff227cb0099fa647
sha1,Agent Tesla payload (confidence level: 95%),139d4ac341060e7c9949f3f2fd60529ce6f44033
sha256,Agent Tesla payload (confidence level: 95%),206489a47aca49b504796ed44bcec529d2ef27a84a8620198e5bd693c2d752d3
md5,Agent Tesla payload (confidence level: 95%),51ca9d0d077b40fd0268fb455ce38e10
sha1,Akira payload (confidence level: 95%),4fb90cbf26a97967ee01a0bbe8462d2f51c09c68
sha256,Akira payload (confidence level: 95%),68fe419e4826b697016a1318f6689492cc0274531c4b82fed32dbc542b15a867
sha1,Akira payload (confidence level: 95%),8871083f127acfac08f192161fbec87339c5fccf
sha256,Akira payload (confidence level: 95%),34c843387845479329052ec7a71f6445c7530b6fee2eabb458da2338d1af41e4
sha1,Akira payload (confidence level: 95%),37b394f838165357d09356bd17d5088bdbb7289c
sha256,Akira payload (confidence level: 95%),5c6cce76a28898a242265b4eb3a3b14558dfb9a67319cfe0ac0bd175addb5b9a
sha1,Akira payload (confidence level: 95%),57709dbc3b8f78d3197e75f8f568e5632e768482
sha256,Akira payload (confidence level: 95%),bfdb075aa514cb43b711bab06e775c081671863bc89c8e84763864e0aa35dd2c
sha1,Akira payload (confidence level: 95%),5258453e052f22c1fedd463714c728904e85a564
sha256,Akira payload (confidence level: 95%),a2b8123e81638843b3de9601a9b80067d74da5f003070d906d33d09481362622
sha1,Phemedrone Stealer payload (confidence level: 95%),fc1754902991c8829d4c1d7396d3cfd431b4abe2
sha256,Phemedrone Stealer payload (confidence level: 95%),ecdfc5cc6d7f281cdc5523ef3181fade183e8175fef433956b5fda7d5d9ce834
md5,Phemedrone Stealer payload (confidence level: 95%),342a657ee213314c8b904285d301181c
sha1,Akira payload (confidence level: 95%),b12c7bba1eb09aa1fbb36b6c9f960f58a330a202
sha256,Akira payload (confidence level: 95%),369336e9f7b6e5d68a34ca420ba8a2076b8c232d9fff3f52c340fa664fc6b5e2
sha1,Akira payload (confidence level: 95%),3e300119505125a878f88f3b6d993670cc5e9c3d
sha256,Akira payload (confidence level: 95%),7142bff8d40f56b9e2e8eaf2d626d54ef6533e6d2f29242ecc90c98aef1a6955
sha1,Akira payload (confidence level: 95%),37afc2b1ccaeea84b898c727bc242cae29430351
sha256,Akira payload (confidence level: 95%),3d6c1fdfc04383ddb9a9028fa7181b017978a0d4f910fdfcb3905ed6b4f33418
sha1,Akira payload (confidence level: 95%),c28ac747eedad47c36e93960dfa19e87e38b6803
sha256,Akira payload (confidence level: 95%),337d21f964091417f22f35aee35e31d94fc3f35179c36c0304eef6e4ae983292
sha1,Loki Password Stealer (PWS) payload (confidence level: 95%),7d54eed487be3e8bc9afa21941dcbacc1f537ac7
sha256,Loki Password Stealer (PWS) payload (confidence level: 95%),6d893d39aa7cbad71156fbede1b15173ea68bcf53cc6aba1d0018270320b56f8
md5,Loki Password Stealer (PWS) payload (confidence level: 95%),7f2aafbdec1b043be264cb6e708a3275
sha1,Mars Stealer payload (confidence level: 95%),cd85ed85038a04338d53aa5b89bf35562095dbea
sha256,Mars Stealer payload (confidence level: 95%),a40de910a48a1526ad3d7d650c1ad8539f202a564dfa69d5cd3a35814115bc5d
md5,Mars Stealer payload (confidence level: 95%),845671c4a0bbe41a2338d93aaffa0eee
sha1,Quasar RAT payload (confidence level: 95%),0125d328c105d47551c3242603e1cb60e063ddf4
sha256,Quasar RAT payload (confidence level: 95%),969ae30c1e3ef08840b3fd85f4abe4ef6eef6eb41257bcb58be3126a5cfeb872
md5,Quasar RAT payload (confidence level: 95%),bcfcabe3a4f2f2c98e768e17e9703d29
sha1,NetWire RC payload (confidence level: 95%),a267f5c35b6bc8d60d41d529eb1f5ea194db5c73
sha256,NetWire RC payload (confidence level: 95%),2ab33663abcd147f9fddee00b96e81ae28aa7e13257892b67f68ea59232f7d8f
md5,NetWire RC payload (confidence level: 95%),4033fb6f4262d7ae22d98b886d06d61a
sha1,SmokeLoader payload (confidence level: 95%),01db91873c7786097aabae197691683e05902682
sha256,SmokeLoader payload (confidence level: 95%),92366ca75c5e466e4ab34c2df2fca51f59c4b32cfbb24db255cda14d3c86ef59
md5,SmokeLoader payload (confidence level: 95%),7d346a0bab5845922ade159cd3d161c6
sha1,ValleyRAT payload (confidence level: 95%),a150c8e320b71be10ac34a02873f6b6813481a18
sha256,ValleyRAT payload (confidence level: 95%),9d4811eacddb9a74b1114467ecd10029332cdc400a38df2a397dc450d03ff3ac
md5,ValleyRAT payload (confidence level: 95%),5418bfb11fa779d26dbf35df9316bcee
sha1,ValleyRAT payload (confidence level: 95%),77697284055661f9f6fb62b5b41e29e40ce8fc0e
sha256,ValleyRAT payload (confidence level: 95%),5a03becaf6894d8e1b619a3cd92eb3ec089851ef570ee0e576049ef249295811
md5,ValleyRAT payload (confidence level: 95%),b3d4d20327935f03e793ee3f68ac46b2
sha1,ValleyRAT payload (confidence level: 95%),290012a7f29d20933c18663712de6709f2c8e6d8
sha256,ValleyRAT payload (confidence level: 95%),7b08df264cd43d40a54562dc56f02b0eae7c83faf6820c1cdd7ed7d90514a287
md5,ValleyRAT payload (confidence level: 95%),6c965ac271f10850cb4dd9c8d5e21bc8
sha1,Ghost RAT payload (confidence level: 95%),1be8717de697681e85e316c860b0771212f2a230
sha256,Ghost RAT payload (confidence level: 95%),891ffa4eafbf98108ef2023ff29b0abf41d3412b738bd3c9cb407eb7b5ff38f1
md5,Ghost RAT payload (confidence level: 95%),f207715d8e4c06d8fb583dd9c5561f48
sha1,CryptNET payload (confidence level: 95%),bdd0c04dd78adf49812620fbf8e59ee9b9f6a874
sha256,CryptNET payload (confidence level: 95%),e3cd1f0cc93fe9023febcb4648ee40aa77441cb2bceafe713258d28d56e1c3fe
md5,CryptNET payload (confidence level: 95%),63dee836a8e1d381530fc34c454c2f60
sha1,Luca Stealer payload (confidence level: 95%),dbf8f4f2740f9f281597ab3e491f0fca9f71c50f
sha256,Luca Stealer payload (confidence level: 95%),3fd90b87cb31212ba57a764fde2ac4bd446edd1099a76bd73ddade423b03f1c4
md5,Luca Stealer payload (confidence level: 95%),9e4b003371aae07e9570d8d771afed07
sha1,Luca Stealer payload (confidence level: 95%),3518023cbcceb1dcae1c327f3514d3d260ae4403
sha256,Luca Stealer payload (confidence level: 95%),677e9e522c5bd4b4c6a6297e63ca19319bdcd1b01d0a086429a24dee19585910
md5,Luca Stealer payload (confidence level: 95%),0af2f5ad849859c8ed77aed3cd8c9a05
sha1,Mars Stealer payload (confidence level: 95%),fd46963afc3c667f8b03b8f0f946399e20cee343
sha256,Mars Stealer payload (confidence level: 95%),d933e301cf2ccd346117f1016ea6fcf491486403966ad39220cff9f847714e38
md5,Mars Stealer payload (confidence level: 95%),4aaf1bc1e2ff93fae210813ae535beaf
sha1,Mars Stealer payload (confidence level: 95%),75080bf49e78a9b709f3c05faae442233757923c
sha256,Mars Stealer payload (confidence level: 95%),821cfe79ab01a6fbc9b861404b16c02e3db388f86d8ed0d474f8042a012ebc16
md5,Mars Stealer payload (confidence level: 95%),4fd94c20d602cf78aafc0560858c2451
sha1,Mars Stealer payload (confidence level: 95%),e7b5d5d98465e2faca6911c6fc44e08e3ffa32c5
sha256,Mars Stealer payload (confidence level: 95%),5b314e2e543e1c303fd1bfcb687197fe3910cfbbc1b7a3c3243fc64c588c1ecc
md5,Mars Stealer payload (confidence level: 95%),7a5b01ccfad7c291a70e7bddad583840
sha1,Luca Stealer payload (confidence level: 95%),65e2090a72492ab89742b0b14d2922c1cfc16e89
sha256,Luca Stealer payload (confidence level: 95%),7fb64f3cb91567614459343f0020c10eb50bd50216f06d33e19761417da7bd62
md5,Luca Stealer payload (confidence level: 95%),f6446826ad7b33f2cca6eb9fac12ee82
sha1,Mars Stealer payload (confidence level: 95%),a2c6581d9137df185f71132fab3b67f8c1bde605
sha256,Mars Stealer payload (confidence level: 95%),e3e6a4c30b3713a624d5902f77f95ef942bb5bbfc357b44d83cd2eb8899c61c6
md5,Mars Stealer payload (confidence level: 95%),1ea85bf324b5e70a9266a5926eeb1376
sha1,Mars Stealer payload (confidence level: 95%),1d367c8f702d74368b279637dcc42380c33af751
sha256,Mars Stealer payload (confidence level: 95%),79e33774b29fe563ad80c8c9e41ce0707a6469df76f2d625e404d8e56fb1e865
md5,Mars Stealer payload (confidence level: 95%),0eb53dbf8c66512f3e3856fdac62138b
sha1,Luca Stealer payload (confidence level: 95%),1169832e246d91d227f12a996c72b8947c9b4916
sha256,Luca Stealer payload (confidence level: 95%),15a0a468220a41d75f566f149f86310913674e21f66fa6a2e85b785f541e8b9b
md5,Luca Stealer payload (confidence level: 95%),33e8cf3d05aec9f0ec671b65aad363db
sha1,Vidar payload (confidence level: 95%),4bcb8be962909dd26c62a34ce60338eb1edb0c8d
sha256,Vidar payload (confidence level: 95%),447e1f1e366412bb08ab4350d1e183a6231df116804aaddbb1587a0bfe0280f3
md5,Vidar payload (confidence level: 95%),a527826ff449c6edea4d1492c575d731
url,Lumma Stealer botnet C2 (confidence level: 75%),https://bnarrathfpt.top/tekq
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),213.209.150.107|3778
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),211.154.16.190|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.115.217.178|443
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),105.158.173.211|4433
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),160.178.210.175|4443
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),160.178.210.175|9943
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),88.218.0.194|31337
