Type,Comment,Value
ip-dst|port,Lumma Stealer botnet C2 server (confidence level: 100%),91.212.166.205|80
ip-dst|port,Lumma Stealer botnet C2 server (confidence level: 100%),91.212.166.204|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),39.103.58.78|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),124.156.107.3|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),43.136.118.94|443
domain,Unknown malware payload delivery domain (confidence level: 100%),security.folregaurd.com
domain,Unknown malware payload delivery domain (confidence level: 100%),dekmos.com
url,Unknown malware payload delivery URL (confidence level: 100%),https://dekmos.com/flare.msi
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),124.222.152.64|8022
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),192.159.99.207|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),78.175.189.137|444
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),101.99.94.46|4782
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),15.185.76.54|17387
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),85.158.108.139|19892
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),198.135.55.145|19000
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),185.39.206.250|8888
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),114.132.180.154|443
url,DCRat botnet C2 (confidence level: 100%),http://fsdas3421fds.x10.mx/eternallineprocesspublic.php
ip-dst|port,WarmCookie botnet C2 server (confidence level: 100%),170.130.165.112|443
ip-dst|port,WarmCookie botnet C2 server (confidence level: 100%),192.36.57.164|443
ip-dst|port,WarmCookie botnet C2 server (confidence level: 100%),89.46.232.247|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.96.128.129|80
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.82.73.108|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.100.119.40|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),194.110.220.78|10010
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),37.59.107.60|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),98.84.165.181|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.146.100.83|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),144.126.135.1|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),95.216.161.54|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),159.223.244.83|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.156.49.107|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.156.49.107|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.213.44.185|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),218.149.15.51|3333
