Type,Comment,Value
url,Formbook botnet C2 (confidence level: 50%),http://www.overworld.site/n8it/
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),185.196.8.98|7920
domain,BumbleBee botnet C2 domain (confidence level: 100%),rvi6iv6l5v.click
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f5ec4632.space
url,Formbook botnet C2 (confidence level: 50%),http://www.findkode.com/n8it/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),fitnessaddictstop.top
domain,DarkWatchman botnet C2 domain (confidence level: 100%),ff44e75f.fun
domain,BumbleBee botnet C2 domain (confidence level: 100%),c63jt1hfwa.click
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f0d42d3b.site
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),154.71.239.26|40500
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),joyftulsoul.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),wecllnessinsight.cyou
url,ClearFake payload delivery URL (confidence level: 100%),https://check.lolp.ink/gkcxv.google
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),coeoltechhub.cyou
domain,BumbleBee botnet C2 domain (confidence level: 100%),yr5viowxku.click
md5,Trigona payload (confidence level: 50%),71ff62df6b65bbdb6144acc2fbb516ca
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f3b98bd4.shop
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f4d6c8e2.shop
domain,ClearFake payload delivery domain (confidence level: 100%),check.smfd.ink
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),78.179.128.55|1000
ip-dst|port,CyberGate botnet C2 server (confidence level: 100%),86.34.227.20|81
domain,Astaroth botnet C2 domain (confidence level: 100%),crolancal16.soniarocha.blog
md5,Unknown malware payload (confidence level: 50%),ca9b8df227469c7e6d745cc267db80ba
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),qsoulfulconnections.click
url,ClearFake payload delivery URL (confidence level: 100%),https://check.aaao.site/gkcxv.google
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),twinnylogy.click
url,Formbook botnet C2 (confidence level: 50%),http://www.oma-reka.online/da16/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),149.28.134.118|53
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),195.158.14.139|40500
ip-dst|port,Sliver botnet C2 server (confidence level: 75%),87.120.115.229|8888
md5,PEBBLEDASH payload (confidence level: 50%),a573b15586e4313832f269b162a04514
url,Phorpiex botnet C2 (confidence level: 50%),http://ouegouehousehsihg.in/
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),217.30.170.9|40500
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),85.113.19.18|40500
domain,Phorpiex botnet C2 domain (confidence level: 50%),inigbiseijfjieiei.su
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f7262965.space
domain,BumbleBee botnet C2 domain (confidence level: 100%),ljn1z45vhq.click
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),176.111.216.82|8080
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),37.12.58.104|6001
url,Formbook botnet C2 (confidence level: 50%),http://www.acetech.net/da16/
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),184.169.215.70|4949
domain,Lumma Stealer payload delivery domain (confidence level: 100%),cpanel.winstar365.in
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),141.98.157.249|5060
domain,ClearFake payload delivery domain (confidence level: 100%),check.yiyy.site
url,ClearFake botnet C2 (confidence level: 100%),http://80.64.30.238/trip.psd
domain,BADBOX botnet C2 domain (confidence level: 100%),cast.jutux.work
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f26a80b4.fun
url,Satacom botnet C2 (confidence level: 100%),http://gliempleo.com/front.php
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f5f25547.fun
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),66.79.104.149|40500
md5,Trigona payload (confidence level: 50%),b4af619cdc21b9947f7ae58cb73e9175
ip-dst|port,Unknown malware payload delivery server (confidence level: 75%),80.78.24.144|4443
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),213.230.67.232|40500
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),184.82.103.23|443
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ambitioipirit.click
url,Phorpiex botnet C2 (confidence level: 50%),http://iriototooeuwosihgau.info/
