Type,Comment,Value
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),8.210.236.220|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),8.222.138.62|31337
ip-dst|port,Bashlite botnet C2 server (confidence level: 75%),156.253.227.62|1111
domain,ClearFake payload delivery domain (confidence level: 100%),naqod.press
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),memsiug.com
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),security.yourclodd.com
url,Sliver payload delivery URL (confidence level: 50%),http://5.181.156.158/files/winhost.exe
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),5.181.156.158|8080
domain,ClearFake payload delivery domain (confidence level: 100%),pusob.press
domain,ClearFake payload delivery domain (confidence level: 100%),lightsoi.pages.dev
url,XWorm payload delivery URL (confidence level: 50%),https://stellar-gumption-ea9fd6.netlify.app/20649.bin
url,XWorm payload delivery URL (confidence level: 50%),https://fanciful-gelato-78b95c.netlify.app/15429b.bin
url,XWorm payload delivery URL (confidence level: 50%),https://statuesque-praline-1be80d.netlify.app/15432bs.bin
domain,ClearFake payload delivery domain (confidence level: 100%),e.overallwobbly.ru
domain,ClearFake payload delivery domain (confidence level: 100%),vekat.press
domain,ClearFake payload delivery domain (confidence level: 100%),lelah.press
domain,ClearFake payload delivery domain (confidence level: 100%),n51v.pages.dev
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),medikalbitkisel.net
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),medicalbitkisel.org
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),medikalbitkisel.org
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),80.76.49.13|10505
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),186.169.92.72|9999
ip-dst|port,Hook botnet C2 server (confidence level: 100%),79.133.46.33|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),79.133.46.33|2053
ip-dst|port,Hook botnet C2 server (confidence level: 100%),154.58.204.239|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),45.80.158.118|8082
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),3.26.197.43|44818
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),213.163.192.75|888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.208.156.153|1857
domain,ClearFake payload delivery domain (confidence level: 100%),fehin.press
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),176.65.142.234|1997
url,BlankGrabber botnet C2 (confidence level: 100%),https://discord.com/api/webhooks/1363629579188568306/wtwqmokcwlyroai6ttyqskdgnqp385afkmt7-nwykmz8vjufynmmiprhjlbgrfh0hqb0
url,BlankGrabber botnet C2 (confidence level: 100%),https://discord.com/api/webhooks/1368569946631704597/glnlnj8tuuswnyj5rjogug_i3wwpbsue2y4apcdfnmaopjlnkxyara8dhhrwm7tfork_
domain,AsyncRAT botnet C2 domain (confidence level: 100%),ansy4abril.duckdns.org
url,Unknown malware botnet C2 (confidence level: 100%),https://serholders.pro/6133d41f0e6446f0.php
sha256,PlugX payload (confidence level: 100%),747bb59ee38af3587d3e9cb0a9a7021fd008df9fc9de335691394112d0b3d5b9
sha256,PlugX payload (confidence level: 100%),f8e59c991941085b94e98293eb14f18699c809491cf2d860c470c8f97250882b
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),wincertfm.store
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),88.214.50.26|425
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),88.214.50.27|416
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),80.64.30.111|431
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),80.64.30.111|426
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),88.214.50.24|427
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),88.214.50.24|416
