Type,Comment,Value
domain,Remcos botnet C2 domain (confidence level: 100%),readysteaurants.com
domain,Remcos botnet C2 domain (confidence level: 100%),elyeso.ip-ddns.com
domain,Remcos botnet C2 domain (confidence level: 100%),infosblogwar.duckdns.org
domain,Remcos botnet C2 domain (confidence level: 100%),remaboki2025.duckdns.org
domain,Remcos botnet C2 domain (confidence level: 100%),bangerr.duckdns.org
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),173.211.106.67|4860
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),185.140.53.140|2404
domain,Ave Maria botnet C2 domain (confidence level: 100%),jeje.linkpc.net
domain,NjRAT botnet C2 domain (confidence level: 100%),environmental-seeds.gl.at.ply.gg
domain,NjRAT botnet C2 domain (confidence level: 100%),nice-otherwise.gl.at.ply.gg
ip-dst|port,NjRAT botnet C2 server (confidence level: 100%),88.208.246.143|5201
url,CryptBot botnet C2 (confidence level: 100%),http://home.fivepp5vs.top/okityplykwyzpzsduddr17
url,CryptBot botnet C2 (confidence level: 100%),http://home.thrtpp13sb.top/raozktqqsofbftfwpzpd11
url,CryptBot botnet C2 (confidence level: 100%),http://home.twelve12vs.top/avwhjxavcxpehbrictmj10
url,CryptBot botnet C2 (confidence level: 100%),http://home.fortenb14vs.top/yemccerranlfomqykhct57
url,CryptBot botnet C2 (confidence level: 100%),http://home.thrthh13pn.top/xcqemzdxgejbbjkcndnh1738611128
url,CryptBot botnet C2 (confidence level: 100%),http://home.fortth14vs.top/gduzhxvrrnstmmahdbgb18
url,CryptBot botnet C2 (confidence level: 100%),http://home.twntgg20sb.top/jgcamzywlkbdegdhzrsg11
url,CryptBot botnet C2 (confidence level: 100%),http://home.twentpp20vs.top/dibdpbvuecmcmipllqmm10
url,CryptBot botnet C2 (confidence level: 100%),http://home.twentykm20sr.top/iyueiwtrvzkhtkirypp737
url,CryptBot botnet C2 (confidence level: 100%),http://home.twelveff20pn.top/hfqvzftxgmzzemqbmmga1736773805
url,CryptBot botnet C2 (confidence level: 100%),http://home.fourteenff14pn.top/bvpyrbxnvjewgoxay73803
url,CryptBot botnet C2 (confidence level: 100%),http://home.fortii14vt.top/ubonvhjiqdjzbfaarjma11
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),adventurolusspirit.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),bwrightfuture.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),coolgiadget.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ditgitaldream.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ecreativehub.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),greengliving.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),hapypytravels.click
