Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.rofai.site
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),evetesttech.net
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),safe-car.ru
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),updfile.cc
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),advrenturousspirit.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ainnovativejourneys.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ambitioipirit.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),answeronner.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),artistmicventures.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),cirkduallek.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),crceativeconversations.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),cucriousmt.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),culturakljourney.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),cultuyralconnections.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),delightfupljourneys.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),egralvalues.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),evderydaywonder.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),exploratipvepath.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),fesvtiveeuphoria.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),flovurishingideas.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),fosteriingjoy.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),fsamilyfirstlife.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),glofbalperspectives.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),holisticlapproach.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),imaginjativepath.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),innogvativegrowth.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),insfaditions.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),insibghtfuldreams.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),insrpiringcommunity.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),joyftulsoul.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),joyfuhldiscovery.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),jurrekndkdo.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),keropbend.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),lovgfenters.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),makeneorlsla.click
