Type,Comment,Value
domain,DarkWatchman botnet C2 domain (confidence level: 100%),9243e231.shop
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),54.227.30.155|3333
domain,DarkWatchman botnet C2 domain (confidence level: 100%),4e577395.fun
md5,Trigona payload (confidence level: 50%),b59a9174ff768633e2cf5dfb16e516a8
domain,AsyncRAT botnet C2 domain (confidence level: 100%),nfasyn.duckdns.org
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),188.253.48.62|40500
domain,DarkWatchman botnet C2 domain (confidence level: 100%),bfd8690b.store
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),divexpo.com
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),82.100.171.178|40500
ip-dst|port,BianLian botnet C2 server (confidence level: 100%),185.229.9.27|465
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fcb9d2fd.space
url,Formbook botnet C2 (confidence level: 50%),http://www.pettigestudio.com/n8it/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),greenearoth.cyou
url,Formbook botnet C2 (confidence level: 50%),http://www.edmontonfoundationrepair.net/n8it/
domain,Phorpiex botnet C2 domain (confidence level: 50%),ouegouehousehefi.net
url,ClearFake payload delivery URL (confidence level: 100%),https://check.ouyo.site/gkcxv.google
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),34.217.214.70|46702
url,Formbook botnet C2 (confidence level: 50%),http://www.k76.lat/c07e/
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),94.230.231.157|40500
domain,AsyncRAT botnet C2 domain (confidence level: 100%),bunnymax2.dynathome.net
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),198.167.216.74|8808
domain,DarkWatchman botnet C2 domain (confidence level: 100%),27dd67e8.space
url,Phorpiex botnet C2 (confidence level: 50%),http://inigbiseijfjisihg.in/
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f51bd0f7.space
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),26.20.187.152|4782
domain,DarkWatchman botnet C2 domain (confidence level: 100%),ff49337a.online
domain,XWorm botnet C2 domain (confidence level: 100%),sellers-spam.gl.at.ply.gg
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),178.236.57.16|40500
domain,ClearFake botnet C2 domain (confidence level: 100%),recaptha-verify-c1.pages.dev
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fb21070e.store
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fd000830.shop
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f29d1671.site
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),197.205.70.170|40500
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),54.217.43.187|80
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f91cfe9c.fun
domain,DarkWatchman botnet C2 domain (confidence level: 100%),ffad62ef.fun
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),89.219.194.0|40500
domain,AsyncRAT botnet C2 domain (confidence level: 50%),ftp.qurvegraphics.com
ip-dst|port,Kaiji botnet C2 server (confidence level: 100%),172.247.194.230|26352
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f7cfacd5.space
domain,ClearFake payload delivery domain (confidence level: 100%),check.aeiee.site
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),192.169.69.26|5023
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),62.133.178.203|40500
md5,Trigona payload (confidence level: 50%),d71036dbaff60b41cc4fd767be595997
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),109.228.205.235|40500
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),neti.openioc.us
