Type,Comment,Value
url,Formbook botnet C2 (confidence level: 50%),http://www.anuspro.pics/b101/
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),2.176.125.92|40500
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),98.218.3.74|4782
domain,ClearFake botnet C2 domain (confidence level: 50%),check.aoouu.site
url,Formbook botnet C2 (confidence level: 50%),http://www.nline-advertising-76975.bond/c07e/
md5,Trigona payload (confidence level: 50%),42301ee7b3dec6b09c5b693a212242d9
ip-dst|port,Sliver botnet C2 server (confidence level: 75%),94.23.84.20|80
url,Formbook botnet C2 (confidence level: 50%),http://www.r677429.xyz/gd08/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),dreamycraft.cyou
ip-dst|port,DeimosC2 botnet C2 server (confidence level: 75%),216.235.95.100|10000
url,Formbook botnet C2 (confidence level: 50%),http://www.isadivisioninternacional.info/gd08/
url,ClearFake payload delivery URL (confidence level: 100%),https://check.roqoi.icu/gkcxv.google
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),91.211.250.95|80
url,Unknown Loader botnet C2 (confidence level: 100%),https://mealkittens.cfd/art.php
domain,Formbook botnet C2 domain (confidence level: 50%),www.esmiid.net
domain,Formbook botnet C2 domain (confidence level: 50%),www.lt-amavi88.shop
url,Formbook botnet C2 (confidence level: 50%),http://www.ogreekioybuio00q.shop/i62s/
url,MASS Logger payload delivery URL (confidence level: 100%),https://87.120.84.39/txt/nfef2debp7q52qq.exe
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.147.125.145|418
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.142.83.61|8082
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),187.155.205.39|40500
domain,Formbook botnet C2 domain (confidence level: 50%),directoriobid.com
domain,Formbook botnet C2 domain (confidence level: 50%),www.wmlmi.top
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),segrenewaves.top
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f44b8f8a.fun
