Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.uhaa4.icu
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),147.185.221.27|5407
domain,NjRAT botnet C2 domain (confidence level: 75%),size-ingredients.gl.at.ply.gg
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://computertecs.com/3h7k.js
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),computertecs.com
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://computertecs.com/js.php
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),travelilx.top
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://loycos.com/1q2w.js
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),loycos.com
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://loycos.com/js.php
ip-dst|port,Unknown RAT botnet C2 server (confidence level: 50%),37.221.64.236|8041
ip-dst|port,Unknown RAT botnet C2 server (confidence level: 50%),93.157.106.137|8041
ip-dst|port,Unknown RAT botnet C2 server (confidence level: 50%),93.157.106.23|8041
domain,Unknown RAT botnet C2 domain (confidence level: 50%),asoso22.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),bbvft221.ddns.net
domain,Unknown RAT botnet C2 domain (confidence level: 50%),cap569.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),croisbtg2.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),dsmf3.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),grip08r.top
domain,Unknown RAT botnet C2 domain (confidence level: 50%),grtha2.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),iiwq24.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),ityq2nacc.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),kasin22.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),kghmst32.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),lotrolnd.jsrhelp.top
domain,Unknown RAT botnet C2 domain (confidence level: 50%),mktulori.otbhelp.top
domain,Unknown RAT botnet C2 domain (confidence level: 50%),mmwerw2.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),mow929.mvhelp.top
domain,Unknown RAT botnet C2 domain (confidence level: 50%),obp316.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),oehelp.top
domain,Unknown RAT botnet C2 domain (confidence level: 50%),ommw2.hopto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),opusns.innoxiously.com
domain,Unknown RAT botnet C2 domain (confidence level: 50%),q9912ass.ddns.net
domain,Unknown RAT botnet C2 domain (confidence level: 50%),qpkl23.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),rnmaor.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),rollrer.ylohelp.top
domain,Unknown RAT botnet C2 domain (confidence level: 50%),scbas2.zapto.org
domain,Unknown RAT botnet C2 domain (confidence level: 50%),screensconnct.com
domain,Unknown RAT botnet C2 domain (confidence level: 50%),sisngl21a.ddns.net
domain,Unknown RAT botnet C2 domain (confidence level: 50%),t285.acemisn.win
domain,Unknown RAT botnet C2 domain (confidence level: 50%),trolrte.cgphelp.top
domain,Unknown RAT botnet C2 domain (confidence level: 50%),wbkoliter.exfhelp.top
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://loycos.com/6a9k.js
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),114.55.234.138|50051
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.41.63.119|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),196.251.70.183|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),42.51.40.5|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),42.51.44.204|8089
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.36.215.212|443
ip-dst|port,DarkComet botnet C2 server (confidence level: 100%),173.249.217.23|11098
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),172.94.111.240|2404
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),104.37.215.121|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),176.65.142.187|8808
ip-dst|port,Hook botnet C2 server (confidence level: 100%),27.124.4.217|8089
ip-dst|port,Hook botnet C2 server (confidence level: 100%),193.149.190.193|80
domain,Bashlite botnet C2 domain (confidence level: 100%),mail.aaa.104-168-101-27.cprapid.com
domain,Bashlite botnet C2 domain (confidence level: 100%),webmail.e.multi-canale.com
domain,Bashlite botnet C2 domain (confidence level: 100%),cpanel.continueoraweb.com
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),196.251.81.246|2222
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.168.101.27|3277
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),23.94.235.18|45
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),209.141.36.93|3778
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),46.19.143.10|1945
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),46.19.143.10|1990
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),46.19.143.10|2840
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.147.251.145|911
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.147.251.145|1440
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.147.251.145|1945
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.147.251.145|1990
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.147.251.145|2840
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.147.251.145|5034
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.147.251.145|38241
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.220.204.227|911
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.220.204.227|1440
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.220.204.227|1945
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.220.204.227|1990
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.220.204.227|2840
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.220.204.227|5034
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.220.204.227|38241
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.248.47.182|911
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.248.47.182|1440
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.248.47.182|1945
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.248.47.182|1990
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.248.47.182|2840
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.248.47.182|5034
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),104.248.47.182|38241
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),45.144.53.177|73
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),23.146.184.61|3778
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),195.189.227.167|5000
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),95.156.207.88|5000
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),195.189.226.165|5000
ip-dst|port,SpyNote botnet C2 server (confidence level: 50%),154.61.80.208|7771
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),107.189.4.201|101
domain,ClearFake payload delivery domain (confidence level: 75%),www.cashcontrol.pe
domain,ClearFake payload delivery domain (confidence level: 75%),creditpronola.com
domain,ClearFake payload delivery domain (confidence level: 75%),www.serviciosinformaticos.com.co
domain,ClearFake payload delivery domain (confidence level: 75%),buywellbuysafe.com
domain,ClearFake payload delivery domain (confidence level: 75%),www.allergyad.com
domain,ClearFake payload delivery domain (confidence level: 75%),www.vegamanagementconsulting.com
domain,SectopRAT payload delivery domain (confidence level: 90%),mail.marketplacelenders.xyz
domain,SectopRAT payload delivery domain (confidence level: 90%),asmitadesign.com
domain,SectopRAT payload delivery domain (confidence level: 90%),freemonflask.click
domain,FAKEUPDATES payload delivery domain (confidence level: 80%),www.scottauto.saxloo.com
domain,FAKEUPDATES payload delivery domain (confidence level: 80%),www.aoya-kamijichi.info
domain,SectopRAT payload delivery domain (confidence level: 90%),usa.webaudiomessages.xyz
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),111.124.194.229|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),119.188.172.147|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),122.228.214.89|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),124.225.167.244|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),171.43.169.214|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),182.242.63.203|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),213.94.218.20|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),27.152.185.86|443
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),147.185.221.27|6772
domain,NjRAT botnet C2 domain (confidence level: 75%),pdf-cape.gl.at.ply.gg
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),42.194.139.66|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),42.51.40.5|8001
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),49.232.143.137|8080
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),124.221.32.87|9001
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),172.111.189.21|5671
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),186.169.80.207|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),176.65.134.7|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),135.125.27.232|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),191.233.255.35|31337
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),104.37.215.110|8888
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),1.15.62.170|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.254.28.197|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),104.248.202.131|7443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),185.100.157.87|80
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),191.17.127.79|5000
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),172.191.137.101|443
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),185.196.9.80|4449
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),34.223.2.188|21
domain,Bashlite botnet C2 domain (confidence level: 100%),autodiscover.f.multi-canale.com
domain,Bashlite botnet C2 domain (confidence level: 100%),webdisk.gestisciweb.com
domain,Bashlite botnet C2 domain (confidence level: 100%),cpcontacts.continueoraweb.com
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),188.241.240.170|8000
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.116.181.251|80
ip-dst|port,SquidLoader botnet C2 server (confidence level: 50%),139.224.246.246|443
ip-dst|port,GhostSocks botnet C2 server (confidence level: 100%),91.212.166.155|443
ip-dst|port,GhostSocks botnet C2 server (confidence level: 100%),91.212.166.154|443
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),code47.amazehome.xyz
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),51.79.249.202|443
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),20.51.130.180|443
domain,Havoc botnet C2 domain (confidence level: 100%),ec2-3-35-26-26.ap-northeast-2.compute.amazonaws.com
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.155.170.189|9999
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),49.13.56.94|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),47.100.216.34|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),101.32.176.136|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),172.105.177.96|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),109.123.227.162|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),218.17.233.82|8090
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),57.129.69.173|8888
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),147.185.221.27|6905
domain,NjRAT botnet C2 domain (confidence level: 75%),score-fears.gl.at.ply.gg
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),20.244.110.27|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),54.211.137.88|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),5.75.164.35|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.148.125.171|443
url,Rhadamanthys payload delivery URL (confidence level: 100%),https://playing-music.oss-ap-southeast-7.aliyuncs.com/musicaly.mp3
domain,Rhadamanthys payload delivery domain (confidence level: 100%),playing-music.oss-ap-southeast-7.aliyuncs.com
url,Rhadamanthys payload delivery URL (confidence level: 100%),https://bv.yuoei.shop/7fbe5fb3ba958a77f17d1d400555809e71d86fe8999830c1.wpd
domain,Rhadamanthys payload delivery domain (confidence level: 100%),bv.yuoei.shop
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),54.216.72.51|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),101.33.122.244|4433
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),45.77.29.113|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),104.168.15.54|8443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),202.79.169.55|8099
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),202.79.169.37|8099
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),202.79.169.126|8099
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),45.145.229.66|12200
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),106.75.224.31|8081
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),198.12.121.168|9898
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),36.213.31.77|10443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),152.42.185.238|2121
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),139.59.99.124|2121
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.116.181.251|1111
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),42.51.44.204|8099
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),159.223.232.3|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),119.23.149.26|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),213.252.247.226|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),51.210.150.70|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),60.204.244.23|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),173.232.146.69|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),60.204.218.12|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.239.148.18|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),152.42.128.44|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),113.44.48.28|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),113.44.90.0|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),107.189.2.38|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),16.62.96.40|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),134.209.197.99|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),101.34.243.38|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),101.33.209.114|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),44.203.159.29|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),165.22.199.11|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),159.89.190.100|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),39.104.25.13|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),113.44.194.13|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),60.204.225.39|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),20.83.148.22|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),101.133.157.22|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),39.106.38.44|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.112.118.101|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),148.66.2.194|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),91.208.197.28|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.93.33.30|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),120.26.226.30|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.108.63.64|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),154.8.160.34|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),13.200.162.35|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),111.230.212.37|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),142.93.234.234|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),209.38.33.44|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),60.205.5.44|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),92.246.87.44|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),39.100.70.46|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),74.176.106.50|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),117.72.34.54|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),101.43.252.53|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),135.237.137.54|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),88.218.93.54|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),35.231.55.62|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),107.175.30.227|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),109.172.7.62|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),1.92.100.58|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),54.37.226.59|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),124.222.152.64|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),45.145.229.66|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),117.72.123.75|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),172.203.216.225|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),20.163.145.194|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),156.238.233.109|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),178.128.247.77|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),192.241.195.81|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.121.123.96|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),154.205.157.83|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.97.73.88|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),8.137.15.87|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),159.223.6.148|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),110.172.104.95|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),198.98.56.99|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),172.98.23.97|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),146.190.255.98|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),121.37.221.98|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),146.190.237.123|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),8.148.20.113|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),209.38.33.149|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),114.132.186.106|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),3.82.243.255|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),139.159.187.200|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),38.55.232.120|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),1.95.212.120|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),116.205.237.158|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),159.138.35.127|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),114.55.234.138|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),124.221.41.140|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.97.84.155|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),148.66.2.197|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.108.149.149|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),128.199.45.151|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),60.204.144.169|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),113.44.73.159|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),43.156.101.186|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),148.66.2.195|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),8.141.95.197|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),159.65.205.212|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),110.41.147.219|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),180.76.138.238|50050
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),42.51.44.204|8060
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),104.42.26.171|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),139.180.190.26|8443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),103.115.18.66|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.92.204.3|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),82.156.145.11|18443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),120.78.65.206|50050
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),103.103.46.12|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),51.79.249.202|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),104.131.110.130|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),92.112.53.234|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),167.99.237.18|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),2.56.166.131|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),156.67.105.193|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),103.82.26.172|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),167.172.20.102|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),196.251.71.174|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),64.225.64.178|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),162.245.188.151|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),165.154.236.59|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),185.104.113.254|31337
