Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.dovoo.icu
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),3.67.15.169|15408
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),3.124.67.191|15408
domain,NjRAT botnet C2 domain (confidence level: 75%),john-already.gl.at.ply.gg
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),176.65.134.62|7777
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),196.251.84.191|4444
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.36.61.196|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),179.13.1.59|2404
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),46.246.82.16|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),74.120.121.26|2502
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),161.97.101.53|1000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),20.229.219.150|443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),51.222.110.148|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),51.222.110.148|8089
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),177.68.42.191|8081
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.newdmkey.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.cgibusiness.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.apexhomeimprovement.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.livebengsnnewz.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.sportsfootball.website
domain,Havoc botnet C2 domain (confidence level: 100%),outlook.tekbalam.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.handufabetgames.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.games777games.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.techspilotx.website
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),185.93.89.137|4444
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.82.12|8000
domain,ClearFake payload delivery domain (confidence level: 100%),check.vevou.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.vevou.icu/gkcxv.google
url,Lumma Stealer botnet C2 (confidence level: 75%),https://barisechairedd.shop/api
url,Lumma Stealer botnet C2 (confidence level: 75%),https://corangemyther.live/api
url,Lumma Stealer botnet C2 (confidence level: 75%),https://vbegindecafer.world/api
