Type,Comment,Value
domain,Vidar botnet C2 domain (confidence level: 100%),updatetroubleunloaded.shop
url,ClearFake botnet C2 (confidence level: 100%),http://80.64.30.238/trip.psd
url,ClearFake botnet C2 (confidence level: 50%),http://83.217.208.130/xfiles/trip.mp4
url,ClearFake botnet C2 (confidence level: 100%),https://updatetroubleunloaded.shop/b313d4a4588bd2e7bc9ece877caba58a.xll
domain,SpyNote botnet C2 domain (confidence level: 100%),statistics-gates.gl.at.ply.gg
domain,SpyNote botnet C2 domain (confidence level: 100%),espada1233123-54643.portmap.host
domain,SpyNote botnet C2 domain (confidence level: 100%),gii-55854.portmap.host
ip-dst|port,SpyNote botnet C2 server (confidence level: 100%),193.161.193.99|52354
url,SpyNote botnet C2 (confidence level: 100%),https://2040-176-98-70-125.ngrok-free.app
url,Coper botnet C2 (confidence level: 100%),https://whisperingvale.xyz/yte5mzq1zwrkzjy1/
url,Coper botnet C2 (confidence level: 100%),https://firestormsite.xyz/mzzkntlintu4ndhl/
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),103.186.117.39|9373
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),37.120.151.102|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),94.237.94.250|4443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),186.169.52.131|8092
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),62.182.85.200|7707
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),78.179.128.55|1000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),78.179.128.55|2003
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),38.85.247.159|8808
domain,Havoc botnet C2 domain (confidence level: 100%),accounts3.app-cloud.link
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),195.177.94.54|80
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.80.6|8000
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.82.6|9000
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),201.220.174.16|99
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.167.31.58|5060
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.167.31.58|13210
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),168.63.17.64|8000
domain,Unknown malware botnet C2 domain (confidence level: 100%),ip115.ip-51-81-104.us
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),20.74.209.192|8444
ip-dst|port,Bashlite botnet C2 server (confidence level: 75%),5.34.214.137|4258
domain,NjRAT botnet C2 domain (confidence level: 75%),hextoriq99.ddns.net
url,DCRat botnet C2 (confidence level: 100%),http://cg79561.tw1.ru/l1nc0in.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),193.150.70.7|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),112.125.88.176|443
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),66.248.206.163|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),23.227.199.110|31337
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),64.185.233.166|8688
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),207.244.238.106|6606
ip-dst|port,Hook botnet C2 server (confidence level: 100%),176.65.134.52|80
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),139.180.146.92|443
domain,Havoc botnet C2 domain (confidence level: 100%),bfa.ae
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),94.156.167.86|2000
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),95.111.205.82|19569
ip-dst|port,ERMAC botnet C2 server (confidence level: 100%),176.65.144.131|80
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),sophoscore.com
ip-dst|port,Sliver botnet C2 server (confidence level: 90%),23.227.199.110|443
domain,Unknown malware botnet C2 domain (confidence level: 100%),www.quadriosoulfood.shop
domain,Unknown malware botnet C2 domain (confidence level: 100%),www.universalfeelz.shop
domain,Unknown malware botnet C2 domain (confidence level: 100%),195-230-22-20.cprapid.com
