Type,Comment,Value
sha256,Unknown malware payload (confidence level: 50%),e8d6fb67b3fd2a8aa608976bcb93601262d7a95d37f6bae7c0a45b02b3b325ad
ip-dst|port,DeimosC2 botnet C2 server (confidence level: 75%),207.60.50.75|443
md5,Unknown malware payload (confidence level: 100%),fc7dc3c5306d6a508023160953168a16
url,Formbook botnet C2 (confidence level: 50%),http://www.dityainfotech.shop/ka18/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),172.86.113.139|8081
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),reslinsights.shop
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.cgibusiness.xyz
domain,Formbook botnet C2 domain (confidence level: 50%),www.3436800poknvdrt43wd.xyz
ip-dst|port,Brute Ratel C4 botnet C2 server (confidence level: 100%),52.198.46.216|80
domain,Remcos botnet C2 domain (confidence level: 100%),verynicepeoplesforsweetkiss.duckdns.org
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),154.205.155.123|2083
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 75%),103.17.38.43|4449
domain,Formbook botnet C2 domain (confidence level: 50%),www.earfat.shop
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.businesssabart.xyz
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),52.63.25.206|443
domain,Formbook botnet C2 domain (confidence level: 50%),www.101asubatayidistsatlari.xyz
domain,Remcos botnet C2 domain (confidence level: 100%),e3uy8orhd0i.duckdns.org
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),sprinbgstre.icu
domain,BumbleBee botnet C2 domain (confidence level: 100%),xraf83jqez0.click
url,Unknown malware payload delivery URL (confidence level: 50%),https://pub-8b65b4d5d27642419264ab33c38db17f.r2.dev/file/captcha.html
domain,Formbook botnet C2 domain (confidence level: 50%),www.earntok.shop
ip-dst|port,Kaiji botnet C2 server (confidence level: 100%),65.75.211.232|10081
domain,Formbook botnet C2 domain (confidence level: 50%),www.czlovesys.xyz
domain,Formbook botnet C2 domain (confidence level: 50%),www.snnmg.baby
url,Formbook botnet C2 (confidence level: 50%),http://www.on-espace-client-sofinc0.shop/ka18/
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),cloud.youtubedns.com
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),172.245.95.180|18080
domain,Formbook botnet C2 domain (confidence level: 50%),www.orussiansthub987q.shop
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),34.217.65.213|5902
domain,CryptBot botnet C2 domain (confidence level: 100%),tengb10sb.top
domain,CyberGate botnet C2 domain (confidence level: 100%),ratproxpn.no-ip.info
domain,Ramnit botnet C2 domain (confidence level: 50%),hdjeydvla.com
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),biochextryhub.bet
url,Lumma Stealer botnet C2 (confidence level: 75%),https://bgarulouscuto.com/api
url,Formbook botnet C2 (confidence level: 50%),http://www.riscollfamily.cloud/sa38/
domain,Unknown malware botnet C2 domain (confidence level: 95%),s.appauthservice.online
domain,ClearFake payload delivery domain (confidence level: 100%),check.xajax.icu
domain,ClearFake payload delivery domain (confidence level: 75%),cedarips.com.co
url,Formbook botnet C2 (confidence level: 50%),http://www.hiseledvisions.art/v32e/
domain,Astaroth botnet C2 domain (confidence level: 100%),drotongoncol.gestaoerg.cfd
domain,CyberGate botnet C2 domain (confidence level: 100%),x3w2.dyndns.info
domain,CyberGate botnet C2 domain (confidence level: 100%),pferd.no-ip.biz
url,Unknown malware payload delivery URL (confidence level: 50%),https://kevinzhangadmin.jintsume.net/
ip-dst|port,Bashlite botnet C2 server (confidence level: 75%),193.200.78.49|6963
url,Formbook botnet C2 (confidence level: 50%),http://www.antx.buzz/hm26/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.137.109.17|9999
url,ClearFake payload delivery URL (confidence level: 75%),https://u1.optdropper.shop/siarhei_korbut_-_aging.mp3
domain,CyberGate botnet C2 domain (confidence level: 100%),awesomedownloads.no-ip.biz
url,ClearFake payload delivery URL (confidence level: 100%),https://check.juxoi.icu/gkcxv.google
url,Formbook botnet C2 (confidence level: 50%),http://www.dance-classes-65797.bond/rupi/
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),31.166.106.12|60676
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.sportsdhub.com
url,Formbook botnet C2 (confidence level: 50%),http://www.oisememe.fun/sa38/
domain,Quasar RAT botnet C2 domain (confidence level: 50%),index-sustained.gl.at.ply.gg
domain,Formbook botnet C2 domain (confidence level: 50%),www.jngck.autos
domain,CryptBot botnet C2 domain (confidence level: 100%),onejs1pn.top
ip-dst|port,ReedBed botnet C2 server (confidence level: 100%),185.190.251.36|443
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.bestreadup.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.latestsportshub.com
domain,Ramnit botnet C2 domain (confidence level: 50%),lnapgrnuwlsn.com
domain,CyberGate botnet C2 domain (confidence level: 100%),orus62000.no-ip.biz
domain,Remcos botnet C2 domain (confidence level: 100%),realsw.strangled.net
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.83.37|8888
url,Formbook botnet C2 (confidence level: 50%),http://www.hh888.cfd/rupi/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),1.94.63.197|8989
url,Unknown malware payload delivery URL (confidence level: 50%),https://84.200.24.181/
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),172.232.58.237|443
url,Phorpiex botnet C2 (confidence level: 50%),http://aeufoeahfouefhgme.top/
domain,BumbleBee botnet C2 domain (confidence level: 100%),e64hgph4fpf.click
url,DCRat botnet C2 (confidence level: 100%),http://asdff123fsdafasdf.ru/packetlowgeoprotectcentral.php
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.fivetopbusiness.website
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),2.58.15.184|80
domain,Formbook botnet C2 domain (confidence level: 50%),www.uoysbuddy.online
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),astrophysical.today
domain,DarkComet botnet C2 domain (confidence level: 100%),khazar.no-ip.biz
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.143.156.9|8443
url,ClearFake payload delivery URL (confidence level: 100%),https://check.hixya.icu/gkcxv.google
domain,Formbook botnet C2 domain (confidence level: 50%),www.onjuanstr.life
domain,BumbleBee botnet C2 domain (confidence level: 100%),uxn5yk90rs8.click
domain,CyberGate botnet C2 domain (confidence level: 100%),t-slide.no-ip.biz
url,DCRat botnet C2 (confidence level: 100%),http://a1089604.xsph.ru/db6165dd.php
domain,CyberGate botnet C2 domain (confidence level: 100%),tsiebecker.no-ip.org
url,Formbook botnet C2 (confidence level: 50%),http://www.evosystems.cloud/g43m/
url,Unknown malware botnet C2 (confidence level: 95%),http://ach.dllgrroup.com/honbezuc8mwquclhfoxl61a7ark3osiatzrmclm6dlrwu5igby0okqkonb9riwvpjtyz9isynneuovteh5fj0ifbhramvecpg4ge8ht6bjbq4qmdzwmujtkqops5f7lwv8u3fxz1swqtkoczfhx202/validate
domain,Ramnit botnet C2 domain (confidence level: 50%),hrwkoyatnwdbtpusq.com
domain,Formbook botnet C2 domain (confidence level: 50%),www.ojafabercastll.online
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),13.201.194.125|50000
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.10bestgamesofufabet.xyz
url,Lumma Stealer botnet C2 (confidence level: 75%),https://techworld2025.top/api
ip-dst|port,ShadowPad botnet C2 server (confidence level: 90%),192.121.162.90|443
url,Lumma Stealer botnet C2 (confidence level: 100%),https://geyntlepillows.live/api
url,Formbook botnet C2 (confidence level: 50%),http://www.esbar.net/sa38/
domain,DarkComet botnet C2 domain (confidence level: 100%),nin3tin.no-ip.biz
url,Formbook botnet C2 (confidence level: 50%),http://www.hoihitclbu.xyz/u023/
domain,Remcos botnet C2 domain (confidence level: 100%),tvrcehervw.tvrcemeheff.euinnos.com
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),46.246.82.12|1000
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),190.54.3.244|80
domain,Formbook botnet C2 domain (confidence level: 50%),www.tm-srv.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://urbanjour.today/api
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),www.dyshop.online
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.hostsportstoto9.com
domain,CyberGate botnet C2 domain (confidence level: 100%),openaccount.sytes.net
domain,Formbook botnet C2 domain (confidence level: 50%),www.anzeal.xyz
domain,NetSupportManager RAT botnet C2 domain (confidence level: 100%),lordfox11.net
url,Lumma Stealer botnet C2 (confidence level: 75%),https://vyafostinjec.today/api
url,Lumma Stealer botnet C2 (confidence level: 75%),https://8mrodularmall.top/api
domain,DarkComet botnet C2 domain (confidence level: 100%),markinyourdark.no-ip.org
domain,NetSupportManager RAT botnet C2 domain (confidence level: 100%),kokosinka1.com
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),196.251.73.248|443
domain,Lumma Stealer payload delivery domain (confidence level: 100%),xn--eclab-1ta.com
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),212.192.12.51|1337
domain,MintsLoader payload delivery domain (confidence level: 100%),lbbkbinkemlhein.top
domain,Unknown Webinject botnet C2 domain (confidence level: 75%),uperairgothoolr.net
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),31.166.106.12|6443
url,Unknown malware payload delivery URL (confidence level: 50%),https://linktree.bz/
url,Formbook botnet C2 (confidence level: 50%),http://www.oduodesign.net/sm05/
md5,Rhadamanthys payload (confidence level: 50%),6b2997fc7396a92dba36300b22919eb5
domain,DCRat botnet C2 domain (confidence level: 100%),cp37219.tw1.ru
ip-dst|port,Brute Ratel C4 botnet C2 server (confidence level: 75%),196.251.117.235|35983
domain,Astaroth botnet C2 domain (confidence level: 100%),frafinhenjal1.consultoria.pics
domain,Astaroth botnet C2 domain (confidence level: 100%),previr.planejamento.cfd
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.74.233.171|8808
domain,ClearFake payload delivery domain (confidence level: 100%),check.kural.icu
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),44.239.12.12|443
ip-dst|port,RedLine Stealer botnet C2 server (confidence level: 100%),141.11.21.49|1911
domain,Quasar RAT botnet C2 domain (confidence level: 50%),pdf-switched.gl.at.ply.gg
url,Unknown malware botnet C2 (confidence level: 95%),https://login.ismre-jup-ag.com/j2hwwgeqqsjdkmhfllbvagda4x1gzak0bxiejww13vz4fcrrremyololtu7onotuaw93nf8kbxog65lmpacliafzicohspovdpzvqvrrz568kj1tsynxdpsiht7fpwsqq0uz4yci7udo9y9jnyecck8b2tbrpxq65ubkhgde/verify
url,Vidar botnet C2 (confidence level: 100%),https://go.f.goldenloafuae.com/
ip-dst|port,DanaBot botnet C2 server (confidence level: 75%),62.60.148.72|443
url,ClearFake payload delivery URL (confidence level: 100%),https://check.myquk.icu/gkcxv.google
url,Formbook botnet C2 (confidence level: 50%),http://www.ickysminis.net/u023/
domain,Astaroth botnet C2 domain (confidence level: 100%),clecol.planejamento.cfd
domain,Formbook botnet C2 domain (confidence level: 50%),www.renddshop.shop
url,Formbook botnet C2 (confidence level: 50%),http://www.35893.pizza/egs9/
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.theyestechnewsz.xyz
domain,CyberGate botnet C2 domain (confidence level: 100%),supernerd.zapto.org
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.bestgamesufabet.xyz
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),5.181.159.60|443
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),146.70.158.85|15443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),144.172.113.109|8808
domain,Formbook botnet C2 domain (confidence level: 50%),www.oyalthaiherb.net
domain,Formbook botnet C2 domain (confidence level: 50%),www.kpde.xyz
domain,BumbleBee botnet C2 domain (confidence level: 100%),u0hs21xo0oj.click
domain,Formbook botnet C2 domain (confidence level: 50%),www.tp-toto88.info
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),193.26.115.188|7077
domain,ClearFake payload delivery domain (confidence level: 75%),tecnicasandinas.com
domain,Formbook botnet C2 domain (confidence level: 50%),www.softwaresignal.cloud
url,Stealc payload delivery URL (confidence level: 50%),https://91.215.85.11/15f869479d73f92a/sqlite3.dll
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),techspherxe.top
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.bestonenewznets.xyz
domain,Astaroth botnet C2 domain (confidence level: 100%),tritanfar.consultoria.pics
domain,Havoc botnet C2 domain (confidence level: 100%),company.fithiphealthy.com
url,Coper botnet C2 (confidence level: 100%),https://gocoloflarecrest.xyz/mzvlmgq1zjgxztc5/
domain,XWorm botnet C2 domain (confidence level: 50%),argusishere.ddns.net
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.138.195.42|81
url,Formbook botnet C2 (confidence level: 50%),http://www.oyalthaiherb.net/v32e/
ip-dst|port,ReedBed botnet C2 server (confidence level: 100%),38.180.138.167|443
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),194.87.68.172|4449
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.fivetopbusiness.website
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),212.56.32.90|31337
url,Unknown malware payload delivery URL (confidence level: 50%),https://app.evaluanom035.com/
domain,Phorpiex botnet C2 domain (confidence level: 50%),eueuqundnndnsude.top
url,Formbook botnet C2 (confidence level: 50%),http://www.tudioab.xyz/sa38/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.95.13.123|80
url,Stealc payload delivery URL (confidence level: 50%),http://185.250.207.143/045a547eb12a29f7/mozglue.dll
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),23.94.126.41|8888
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),15.207.134.28|443
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.newdmkey.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://happyjh.world/api
ip-dst|port,SpyNote botnet C2 server (confidence level: 100%),89.23.96.54|5355
url,Lumma Stealer botnet C2 (confidence level: 100%),https://airsoftadv.life/api
url,ClearFake payload delivery URL (confidence level: 75%),https://u1.drizzleraving.shop/siarhei_korbut_-_grant.mp3
domain,Unknown malware botnet C2 domain (confidence level: 100%),jkcommco.oasijnaasoculto.it.com
domain,Formbook botnet C2 domain (confidence level: 50%),www.advcash.financial
url,Lumma Stealer botnet C2 (confidence level: 100%),https://heritagebreeds.run/api
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),198.199.122.34|2087
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),103.83.86.117|36063
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),qquantumcoding.digital
url,Unknown Loader botnet C2 (confidence level: 100%),https://neckscissors.icu/art.php
domain,Astaroth botnet C2 domain (confidence level: 100%),scrifintez.berengrioannapessoa.coupons
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),164.90.225.126|3333
domain,Unknown Webinject botnet C2 domain (confidence level: 75%),ratchaudroogna.net
url,ClearFake payload delivery URL (confidence level: 100%),https://fmoz.pages.dev/
domain,Unknown malware botnet C2 domain (confidence level: 100%),5616799786.sbs
domain,ClearFake payload delivery domain (confidence level: 75%),www.t3r.sg
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),95.174.95.231|5555
domain,Formbook botnet C2 domain (confidence level: 50%),www.ll-inclusive-vacations-best.sbs
url,Formbook botnet C2 (confidence level: 50%),http://www.bankersbasogabergamo.cloud/g43m/
domain,Formbook botnet C2 domain (confidence level: 50%),www.ketchagi.xyz
domain,XWorm botnet C2 domain (confidence level: 50%),november-cope.gl.at.ply.gg
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),reseagetwork.top
domain,Formbook botnet C2 domain (confidence level: 50%),www.umpsiconi.shop
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.186.96.95|8159
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),97.64.18.185|60000
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),183.101.23.154|443
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),moderzysics.top
domain,Formbook botnet C2 domain (confidence level: 50%),www.horgroup.xyz
domain,Formbook botnet C2 domain (confidence level: 50%),www.edical-checkup-53222.bond
domain,ClearFake payload delivery domain (confidence level: 100%),check.vudih.icu
url,Formbook botnet C2 (confidence level: 50%),http://www.innaxwealth.qpon/gt23/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),orchardinspiration.top
domain,Ramnit botnet C2 domain (confidence level: 50%),jmvfljrrpxffppwyqj.com
