Type,Comment,Value
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),modgears.run
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://lawofcjdj.com/4r6t.js
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),lawofcjdj.com
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://lawofcjdj.com/js.php
url,Coper botnet C2 (confidence level: 80%),https://ciceksepetilove.com/zgzlztniythimjcx/
url,Coper botnet C2 (confidence level: 80%),https://erdalbesikc123iler.com/zgzlztniythimjcx/
url,Coper botnet C2 (confidence level: 80%),https://effyleydi2020.com/zgzlztniythimjcx/
url,Coper botnet C2 (confidence level: 80%),https://karamelpeteksepet1.com/zgzlztniythimjcx/
url,Coper botnet C2 (confidence level: 80%),https://mutfakcinecolar.com/zgzlztniythimjcx/
domain,ClearFake payload delivery domain (confidence level: 100%),cdn.horse-shadow-key.vip
domain,ClearFake payload delivery domain (confidence level: 100%),securityverifservice.com
domain,ClearFake payload delivery domain (confidence level: 100%),captcha-verify-9h5v.com
domain,MintsLoader botnet C2 domain (confidence level: 75%),syflejkmurbsdwp.top
domain,MintsLoader botnet C2 domain (confidence level: 75%),jdjmdlalamlcgfh.top
ip-dst|port,DarkComet botnet C2 server (confidence level: 100%),196.119.226.177|1604
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.204|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),178.128.246.187|7443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),167.99.66.81|7443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),174.113.16.60|9601
domain,Havoc botnet C2 domain (confidence level: 100%),ec2-13-61-8-192.eu-north-1.compute.amazonaws.com
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),157.20.182.72|4449
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),157.20.182.70|4449
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),3.128.25.18|8081
ip-dst|port,ERMAC botnet C2 server (confidence level: 100%),165.22.17.157|8080
ip-dst|port,Chaos botnet C2 server (confidence level: 100%),58.215.146.108|54681
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.106.201|4000
ip-dst|port,Hook botnet C2 server (confidence level: 100%),181.41.201.142|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),45.83.143.163|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),45.83.143.163|8089
domain,Havoc botnet C2 domain (confidence level: 100%),23-227-199-59.static.hvvc.us
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),45.88.186.118|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),5.181.157.176|33389
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),5.181.157.69|33389
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),103.118.244.27|8000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),117.72.70.150|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),147.45.165.185|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),104.168.114.162|53333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),51.38.48.205|443
