Type,Comment,Value
domain,Unknown malware payload delivery domain (confidence level: 100%),security.fgewrgoald.com
domain,Unknown malware payload delivery domain (confidence level: 100%),kerewz.com
url,Unknown malware payload delivery URL (confidence level: 100%),https://kerewz.com/shield.msi
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),176.126.85.26|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.41.91.64|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.36.73.30|12345
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),45.88.186.161|6606
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),94.72.109.180|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),104.243.254.99|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),144.172.114.220|8888
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),140.238.178.68|443
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),213.139.50.179|80
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),140.238.178.68|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),154.83.92.128|7443
domain,Hook botnet C2 domain (confidence level: 100%),dev-testprvpgfextext2bdc1c5-pg1.postgres.database.azure.com
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),177.60.19.72|5000
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),3.145.32.11|443
ip-dst|port,Orcus RAT botnet C2 server (confidence level: 100%),194.26.192.76|10134
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),186.169.36.120|8090
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),196.251.116.140|2004
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),196.251.116.140|2404
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),23.226.54.25|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.94.145.116|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),101.200.137.237|80
