Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.jorah.icu
domain,ClearFake payload delivery domain (confidence level: 75%),cedarips.com.co
domain,ClearFake payload delivery domain (confidence level: 75%),joyfulaiteam.com
domain,ClearFake payload delivery domain (confidence level: 100%),check.gefeq.icu
url,Coper botnet C2 (confidence level: 100%),https://solsticegocolohaven.xyz/mzvlmgq1zjgxztc5/
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 100%),150.158.39.57|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),164.92.211.176|7443
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),43.225.157.168|443
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.apexhomeimprovement.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.fortnewzoutlooks.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.gamesoftotoandtotoof.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.dgmrtktnewz.website
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.homeimprovementbox.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.youandmewtoto.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.bsttoolswx.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.onlinebesttotogamesnewz.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),percoin.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.hostbesttech.website
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),103.229.127.195|4449
ip-dst|port,Orcus RAT botnet C2 server (confidence level: 100%),188.25.9.224|8080
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.214.134.78|8159
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),34.252.142.16|58657
url,DCRat botnet C2 (confidence level: 100%),http://95.163.86.252/48longpollpacket/4temporarylow/imagelow/wordpressmultiuploadsuniversal/5processor/downloads/tracktestvmauth/imagepubliclineuploads/pipetemporary/downloadsbaseasync/tosql/publicjavascript/line6low8/eternalvideojavascriptapilinuxgeneratordlepubliccentral.php
md5,LockBit payload (confidence level: 50%),ba56b0c4a215b40cbe64f8f8b1f166ad
url,DCRat botnet C2 (confidence level: 100%),http://a0723684.xsph.ru/externalimagegametemp.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),101.42.223.142|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),81.70.21.198|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),82.157.65.122|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),176.65.138.202|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),95.174.95.231|4444
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.148.20.113|2222
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),104.168.19.195|5432
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),45.94.31.203|2404
domain,Remcos botnet C2 domain (confidence level: 100%),tvrcehervw.tvrcemeheff.euinnos.com
domain,Remcos botnet C2 domain (confidence level: 100%),tvrcehervw2.tvrcemeheff.euinnos.com
domain,Remcos botnet C2 domain (confidence level: 100%),tvrcehcwdg.tvrcemeheff.euinnos.com
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.56|2000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.241.208.247|8080
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),51.89.190.24|222
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.241.208.132|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.74.233.171|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),147.45.153.220|7443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),196.251.72.231|80
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.shalownewsbooks.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.answerallnewz.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.magazinebookline.com
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.hostsportstoto9.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.sports777games.com
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),136.244.82.86|7575
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),74.50.81.138|8443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),196.251.83.134|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.202.145.123|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.141.3.107|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.72.156.127|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),64.23.205.166|4321
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),162.248.52.178|3343
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.60.161.84|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.6.43.252|8443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),54.177.158.57|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),165.232.149.173|8634
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),106.54.220.113|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),107.128.196.244|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),84.201.181.69|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),104.248.201.97|3333
md5,HellDown payload (confidence level: 50%),5e7f5bb24a7cdaabcf3d2e77ed31fa4e
md5,HellDown payload (confidence level: 50%),b81df159e7e338a3159f27ef3358094f
md5,HellDown payload (confidence level: 50%),140aad1f823157222af3da2d23de8789
md5,HellDown payload (confidence level: 50%),64cc86931bab241dcc08db03e659bcc5
md5,HellDown payload (confidence level: 50%),be37cd010227d7b953b07b93d2e5dadc
md5,HellDown payload (confidence level: 50%),363af8ec21b8c309e56abdd114f32a39
ip-dst|port,StrelaStealer botnet C2 server (confidence level: 50%),193.143.1.205|80
url,StrelaStealer botnet C2 (confidence level: 50%),http://193.143.1.205/invoice.php
url,StrelaStealer botnet C2 (confidence level: 50%),http://193.143.1.205/up.php
sha256,StrelaStealer payload (confidence level: 50%),f5c54fce6c9e2f84b084bbf9968c9a76d9cd74a11ccf4fcba29dbe2e4574e3d7
sha256,StrelaStealer payload (confidence level: 50%),9c49266e315eb76ce73cbe542cfd2bbf28844689944ac8776daecbdcdecd8cf8
sha256,StrelaStealer payload (confidence level: 50%),31389cb2f067020f181462bab3519c22fd88da084012729e9edf79d15427b86f
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|416
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|431
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|423
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|425
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|426
ip-dst|port,Vidar botnet C2 server (confidence level: 100%),78.47.20.171|443
domain,Vidar botnet C2 domain (confidence level: 100%),ar.b.goldenloafuae.com
url,Vidar botnet C2 (confidence level: 100%),https://ar.b.goldenloafuae.com/
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|427
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|418
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|424
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|428
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|419
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),176.65.138.202|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),172.94.17.217|888
domain,Remcos botnet C2 domain (confidence level: 100%),tvrcecbegny.tvrcemeheff.euinnos.com
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),172.94.9.232|5671
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),56.155.12.98|7443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),134.122.55.34|7443
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.magazinebestnetworkz.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.testmedia89.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.whartpzz.com
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),172.96.14.56|4449
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),115.74.21.219|5000
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),179.13.2.158|8080
ip-dst|port,BianLian botnet C2 server (confidence level: 100%),206.72.200.109|8443
domain,ClearFake payload delivery domain (confidence level: 100%),check.cyhym.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.cyhym.icu/gkcxv.google
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|422
domain,ClearFake payload delivery domain (confidence level: 100%),check.hotuv.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.hotuv.icu/gkcxv.google
ip-dst|port,Sliver botnet C2 server (confidence level: 75%),162.120.71.38|8888
ip-dst|port,Eye Pyramid botnet C2 server (confidence level: 75%),93.82.25.135|8000
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.42.12.21|429
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.108.63.64|666
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),202.91.33.218|2345
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),196.251.71.31|4433
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),139.84.238.244|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),45.61.135.140|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),58.65.172.130|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),192.3.182.68|31337
ip-dst|port,DCRat botnet C2 server (confidence level: 50%),38.225.209.116|9898
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),69.166.235.227|2080
url,Unknown malware payload delivery URL (confidence level: 50%),https://twitter.sh/
url,Unknown malware payload delivery URL (confidence level: 50%),https://www.dextool.xyz/
url,Unknown malware payload delivery URL (confidence level: 50%),https://dexscreener.moonshottrending.com/
url,Unknown malware payload delivery URL (confidence level: 50%),https://twitch.care/trumplive
url,Lumma Stealer botnet C2 (confidence level: 50%),https://datganalytics.live/api
url,Lumma Stealer botnet C2 (confidence level: 50%),https://gdpfsj.com/api
url,Hook botnet C2 (confidence level: 50%),http://196.251.83.134:8080/
url,Hook botnet C2 (confidence level: 50%),http://196.251.72.231/
url,Stealc botnet C2 (confidence level: 50%),https://62.60.226.53/4d13fdcd227497ca.php
domain,Glupteba botnet C2 domain (confidence level: 50%),smashspeed.info
domain,Glupteba botnet C2 domain (confidence level: 50%),touchook.info
url,Glupteba botnet C2 (confidence level: 50%),http://smashspeed.info/dll.php
url,Glupteba botnet C2 (confidence level: 50%),https://touchook.info/
domain,Quasar RAT botnet C2 domain (confidence level: 50%),jogojo-51013.portmap.host
domain,XenoRAT botnet C2 domain (confidence level: 50%),fr242.hopto.org
url,XWorm botnet C2 (confidence level: 50%),https://pastebin.com/raw/dsfahh8b
domain,XWorm botnet C2 domain (confidence level: 50%),adrianmoritoru-34347.portmap.io
domain,XWorm botnet C2 domain (confidence level: 50%),argusishere.ddns.net
domain,XWorm botnet C2 domain (confidence level: 50%),improve-gis.gl.at.ply.gg
