Type,Comment,Value
domain,KongTuke payload delivery domain (confidence level: 100%),deathmatchuk.com
url,KongTuke payload delivery URL (confidence level: 100%),https://deathmatchuk.com/5l4j.js
url,KongTuke payload delivery URL (confidence level: 100%),https://deathmatchuk.com/js.php
url,KongTuke payload delivery URL (confidence level: 100%),https://cute-pudding-05af50.netlify.app/file.ps1
url,KongTuke payload delivery URL (confidence level: 100%),https://unique-kataifi-8d2aac.netlify.app/myfiles.zip
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),warpdrive.top
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://warpdrive.top/jjj/include.js
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://warpdrive.top/jjj/index.php
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://sos-atlanta.com/lal.ps1
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://sos-atlanta.com/vuzs.zip
domain,Unknown malware payload delivery domain (confidence level: 100%),security.flnwareguward.com
domain,Unknown malware payload delivery domain (confidence level: 100%),repolix.com
domain,KongTuke payload delivery domain (confidence level: 100%),cute-pudding-05af50.netlify.app
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://warpdrive.top/jjj/buffer.js
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),http://sos-atlanta.com:80/lal.ps1
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),sos-atlanta.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.245.61.75|4444
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),206.82.6.166|80
domain,AsyncRAT botnet C2 domain (confidence level: 100%),www.quoteconsumer.net
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),195.206.234.19|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),13.41.224.200|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),172.111.151.97|75
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),78.162.57.179|306
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),95.111.254.223|7443
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.215.245.94|2083
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.215.245.94|4433
domain,Unknown malware botnet C2 domain (confidence level: 100%),m365.office.safelogins.su
domain,Bashlite botnet C2 domain (confidence level: 100%),funny-rhodes.194-26-192-12.plesk.page
domain,Bashlite botnet C2 domain (confidence level: 100%),friendly-proskuriakova.194-26-192-12.plesk.page
ip-dst|port,Latrodectus botnet C2 server (confidence level: 90%),167.160.161.224|443
url,Umbral botnet C2 (confidence level: 100%),https://discord.com/api/webhooks/1346459311483785276/cqnvudaoifjcdf4vo7vwtgnnfbmuju8qxk65l_ltd8czz2u1kst1eghktrtcfuco5-er
url,Umbral botnet C2 (confidence level: 100%),https://discord.com/api/webhooks/1394334234881032193/9ruzztqms46d9b4edtm6npywy6pust8914wri2ydakz9kvzgb3fv4rgntql5amb96msn
url,Umbral botnet C2 (confidence level: 100%),https://discordapp.com/api/webhooks/1392417824688967680/ugweb1gocyp_fziwdwuqzkhnhuzyxunnl_pbjpjtaw8t_cutnjq_laola-n5fyhs3bt9
domain,Unknown Loader payload delivery domain (confidence level: 90%),if-www.com
domain,Unknown Loader payload delivery domain (confidence level: 90%),denis39.site
domain,Unknown Loader payload delivery domain (confidence level: 90%),iqi-www.com
