Type,Comment,Value
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.16|425
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.16|431
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://opteme.com/1q2w.js
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.15|421
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.16|424
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.16|417
url,Coper botnet C2 (confidence level: 80%),https://topflowow.top/zmu2yzq2njzlnjc2/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),iarmoryarch.shop
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),rblackeblast.run
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),caliberc.life
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.137.100.162|7001
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.242.77.241|8443
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),185.29.8.45|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),172.94.111.34|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),23.94.82.22|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),181.235.212.139|7704
domain,Remcos botnet C2 domain (confidence level: 100%),eloquent-babbage.185-236-231-168.plesk.page
domain,Remcos botnet C2 domain (confidence level: 100%),metamask-recoveryform.185-236-231-168.plesk.page
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.15|416
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.16|428
url,DCRat botnet C2 (confidence level: 100%),http://f1096627.xsph.ru/5b9fff98.php
url,DCRat botnet C2 (confidence level: 100%),http://neittqgmai.temp.swtest.ru/httpbasetrackwpprivatetempcdn.php
url,DCRat botnet C2 (confidence level: 100%),http://a1101487.xsph.ru/toupdatedefaultsqldbwpuploads.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),107.173.168.159|12332
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),191.101.130.246|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),206.123.152.47|3191
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),103.186.117.178|9373
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),35.215.4.218|443
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),134.209.250.239|8080
url,DCRat botnet C2 (confidence level: 100%),http://assikapr25.temp.swtest.ru/imagerequesttemp.php
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.16|422
url,DCRat botnet C2 (confidence level: 100%),http://a1101946.xsph.ru/983c076a.php
ip-dst|port,Sliver botnet C2 server (confidence level: 90%),54.198.204.238|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.67|2000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.235|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),194.105.5.109|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),206.123.138.205|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),86.48.19.90|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.69.138|555
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),176.65.140.52|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.84.194|1433
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.84.194|7777
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),165.227.157.172|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),165.227.233.49|7443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),104.245.241.28|8089
ip-dst|port,Hook botnet C2 server (confidence level: 100%),188.132.130.71|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),160.187.1.114|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),160.187.1.114|8089
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),70.185.170.81|443
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),13.49.227.38|443
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),96.9.125.165|443
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),134.122.128.86|4433
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.6.3|8080
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),178.73.218.13|8090
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.14.20|8080
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.14.20|9090
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),45.133.180.130|5050
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),45.133.180.130|9000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.144.52.215|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),137.184.49.229|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),157.245.137.168|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),52.91.72.92|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.61.186.62|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),54.173.222.119|8000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.77.46.216|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.77.46.216|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),194.58.114.98|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),152.203.22.174|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),103.162.30.215|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),14.161.30.152|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),14.161.30.152|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.239.62.81|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),35.158.17.113|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),35.158.17.113|443
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.11.61.15|424
url,DCRat botnet C2 (confidence level: 100%),http://961570cm.nyashk.ru/providervmprocessorbigloadwordpressdlepublictempuploads.php
url,Lumma Stealer botnet C2 (confidence level: 100%),https://battlefie.shop/api
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),196.251.70.94|43213
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),176.65.139.88|4688
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),176.65.139.88|4689
url,Unknown Loader botnet C2 (confidence level: 100%),http://grainink.website/hio.php
url,Unknown Loader botnet C2 (confidence level: 100%),http://sheetstep.icu/dji.php
url,Unknown Loader botnet C2 (confidence level: 100%),http://sheetstep.icu/djp.php
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),wilrdadventur.digital
url,Azorult botnet C2 (confidence level: 75%),http://j4b2.icu/tl341/index.php
url,Lumma Stealer botnet C2 (confidence level: 100%),https://preoductpark.icu/djwin
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),preoductpark.icu
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.243.99.248|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.13.191.72|443
url,Lumma Stealer botnet C2 (confidence level: 75%),https://1pistolpra.bet/api
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),118.89.73.78|8080
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),39.98.127.63|7777
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.133.199.150|8888
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),119.45.120.34|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.97.73.88|7777
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.117.147.55|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),42.51.39.226|8001
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 75%),13.40.161.1|8081
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 75%),13.56.254.234|8013
ip-dst|port,Havoc botnet C2 server (confidence level: 75%),146.70.24.151|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 75%),195.206.234.29|7707
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 75%),196.251.69.138|444
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 75%),196.251.69.138|5555
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 75%),74.120.121.126|8808
url,Unknown Stealer payload delivery URL (confidence level: 100%),https://electrum.org.ph/
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://kimjohan.com/1q2w.js
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),kimjohan.com
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://kimjohan.com/js.php
domain,ClearFake payload delivery domain (confidence level: 100%),check.qusixoy6.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.qusixoy6.icu/gkcxv.google
domain,ClearFake payload delivery domain (confidence level: 100%),check.inea3.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.inea3.icu/gkcxv.google
url,Vidar botnet C2 (confidence level: 100%),https://t.p.formaxprime.co.uk/
url,Vidar botnet C2 (confidence level: 100%),https://95.216.179.65/
domain,Vidar botnet C2 domain (confidence level: 100%),t.p.formaxprime.co.uk
ip-dst|port,Vidar botnet C2 server (confidence level: 100%),95.216.179.65|443
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),cfeatureccus.shop
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),hhardwarehu.icu
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),acjlaspcorne.icu
url,DCRat botnet C2 (confidence level: 100%),http://697580cm.nyashk.ru/linepolllowprocessortraffictempcentraluploadstemporary.php
ip-dst|port,NjRAT botnet C2 server (confidence level: 100%),46.197.220.52|3389
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-40415.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://confirmm2.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-04240144.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://februaryconfr-21563.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-40215.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-42415.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://bookingmarch-en-lang.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://booking-march45683.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://booking-human-id90024054.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-04240154.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-0424014.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://booking-march-lang-en515.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-id891489.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://booking-caphuman-089096111.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-402415.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-624024.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-40245.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://parner-id-12345501.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-40241.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-04240124.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://parner-id-1004991.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://parner-id-1381834.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-0424214.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://parner-id-104951451.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-442104.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-424504.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-04245154.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://partner-420140.com
url,Unknown malware payload delivery URL (confidence level: 50%),https://booking.partner-04240144.com
domain,Unknown malware payload delivery domain (confidence level: 100%),partner-40415.com
domain,Unknown malware payload delivery domain (confidence level: 100%),confirmm2.com
