Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.aayai.icu
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),159.223.83.97|59666
domain,Mirai botnet C2 domain (confidence level: 75%),batnet.proxyapi.my.id
url,Lumma Stealer payload delivery URL (confidence level: 100%),https://metalcourthur.fun/api
domain,Lumma Stealer payload delivery domain (confidence level: 100%),metalcourthur.fun
domain,Lumma Stealer payload delivery domain (confidence level: 100%),uncertainyelemz.bet
domain,Lumma Stealer payload delivery domain (confidence level: 100%),prideforgek.fun
domain,Lumma Stealer payload delivery domain (confidence level: 100%),subawhipnator.life
domain,Lumma Stealer payload delivery domain (confidence level: 100%),privileggoe.live
domain,Lumma Stealer payload delivery domain (confidence level: 100%),decreaserid.world
url,Lumma Stealer botnet C2 (confidence level: 100%),https://hobbyedsmoker.live/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://goaledharmfuk.live/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://baconqualit.live/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://resqueoppos.live/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://privileggoe.live/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://concentratecr.world/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://neglectdivid.world/api
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),hobbyedsmoker.live
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),goaledharmfuk.live
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),baconqualit.live
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),resqueoppos.live
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),privileggoe.live
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),concentratecr.world
url,Lumma Stealer botnet C2 (confidence level: 100%),https://miscrirarisz.today/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://owerenvokken.run/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://reasonablerwi.today/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://bennedospok.run/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://dryentaidne.run/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://grendyreushe.run/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://porkedbunned.run/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://lawyesaved.today/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://deaddereaste.today/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://kurrenpowed.run/api
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),bennedospok.run
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),dryentaidne.run
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),grendyreushe.run
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),porkedbunned.run
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),deaddereaste.today
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),download.caringheadboard.buzz
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ping.caringheadboard.buzz
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ai.fdswgw.shop
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),vatloopedo.bet
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),94.154.34.34|3778
url,Coper botnet C2 (confidence level: 100%),https://seraphicridge.xyz/mdqyztc1mju5mjzi/
url,Coper botnet C2 (confidence level: 100%),https://crimsonpeak.xyz/odmyzdm0yjliownl/
url,Coper botnet C2 (confidence level: 100%),https://shadowpeak.xyz/ywvhnmm2otc3mzzi/
url,DCRat botnet C2 (confidence level: 100%),http://289098cm.shnyash.ru/phpcentral.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),192.236.147.186|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),54.159.96.171|443
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),89.23.108.220|443
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),179.43.171.220|3390
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.123.17|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),37.114.57.39|7443
domain,Bashlite botnet C2 domain (confidence level: 100%),12825.funian.xyz
url,DCRat botnet C2 (confidence level: 100%),http://593412cm.nyanyash.ru/externallinemultidefaulttrafficwpcentraluploads.php
ip-dst|port,RMS botnet C2 server (confidence level: 100%),37.18.37.70|444
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),175.27.241.169|80
ip-dst|port,DarkComet botnet C2 server (confidence level: 100%),189.150.95.96|1604
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),103.186.117.61|2404
domain,Remcos botnet C2 domain (confidence level: 100%),blackbirdessential.cloud
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.38.77.31|7443
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),41.251.18.204|18246
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),41.251.18.204|19096
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),41.251.18.204|49152
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),41.251.18.204|43
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),173.208.190.227|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),161.248.87.243|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),115.77.122.212|8808
ip-dst|port,MooBot botnet C2 server (confidence level: 100%),83.168.105.166|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.210.62.90|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),16.170.155.214|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.197.6.78|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.200.119.184|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),144.48.240.54|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.23.189.87|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.86.227.121|3333
url,DCRat botnet C2 (confidence level: 100%),http://610188cm.nyanyash.ru/vmcpugamesqlcentral.php
domain,ClearFake payload delivery domain (confidence level: 100%),check.oaaea.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.oaaea.icu/gkcxv.google
domain,ClearFake payload delivery domain (confidence level: 100%),check.iuuoo.icu
url,DCRat botnet C2 (confidence level: 100%),http://a1081343.xsph.ru/0fce162f.php
url,ClearFake payload delivery URL (confidence level: 100%),https://check.iuuoo.icu/gkcxv.google
