Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.lixir.icu
domain,ClearFake payload delivery domain (confidence level: 100%),check.fetoq.icu
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),85.31.231.183|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),189.1.220.101|28443
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),196.251.88.124|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),177.136.225.183|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),147.124.211.21|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),100.42.182.237|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),49.113.78.205|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),186.169.94.13|11103
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),47.83.219.200|7443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),87.120.166.174|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),87.120.166.174|8089
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),96.9.124.205|443
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.takeufagame1212.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.10bestbusiness.website
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.84.4|9999
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),217.114.43.53|4000
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),176.65.142.140|3990
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 100%),192.144.217.213|8888
url,DCRat botnet C2 (confidence level: 100%),http://77.105.147.252/_7base/windowstraffic.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),101.42.18.6|9999
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),101.43.166.60|6666
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),162.245.188.203|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),195.211.191.150|3981
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),164.92.84.107|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),198.135.52.171|4433
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),176.65.140.206|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.122.218|4000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),161.97.101.53|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.70.104|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.42.40.191|7443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),4.197.75.190|8089
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),23.88.120.188|40056
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.ipmnewsworld.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.topandbestnews.com
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),193.164.6.126|4449
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.234.72.2|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),39.99.33.97|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),209.38.69.65|8888
domain,Hook botnet C2 domain (confidence level: 100%),balancefitnow.com
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.apkhubnewz.com
domain,Unknown malware botnet C2 domain (confidence level: 100%),manusiabodoh.cyberdark.xyz
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.136.233.118|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),129.152.27.254|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.109.202.6|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),175.178.176.50|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),109.123.230.175|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),135.235.216.92|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.144.87.174|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.60.189.77|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),213.209.129.104|4444
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),2.59.42.169|45345
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),47.109.57.243|9999
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),94.66.237.39|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),181.32.57.215|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),44.239.12.12|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),94.46.171.220|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),194.182.90.117|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),35.163.78.215|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.46.180.128|443
ip-dst|port,QakBot botnet C2 server (confidence level: 100%),70.41.9.56|443
url,AMOS botnet C2 (confidence level: 75%),https://miliste.com/contact
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),113.44.154.245|8099
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),172.93.46.40|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),112.74.184.37|6666
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),112.74.184.37|7777
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),1.15.34.67|7777
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),38.207.178.43|9003
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),198.199.122.34|2087
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),106.15.129.111|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),124.71.200.1|50050
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),152.228.174.215|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),42.51.0.226|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),159.203.82.72|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),45.8.146.45|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),134.209.250.239|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),144.172.94.119|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),196.251.70.199|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),167.99.105.30|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),194.163.188.142|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),202.171.179.21|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),84.38.130.82|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),176.123.169.64|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),134.209.93.110|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),164.92.154.140|31337
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),220.76.180.78|6000
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),51.198.130.30|6001
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),52.136.38.252|4443
ip-dst|port,NjRAT botnet C2 server (confidence level: 50%),41.109.190.205|1177
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),31.166.106.12|5001
ip-dst|port,Xtreme RAT botnet C2 server (confidence level: 50%),200.86.136.112|81
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 50%),149.210.43.165|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),2.58.15.184|80
ip-dst|port,Mozi botnet C2 server (confidence level: 50%),117.213.118.65|60000
url,Unknown malware payload delivery URL (confidence level: 50%),https://twltter.dev/
url,Unknown malware payload delivery URL (confidence level: 50%),https://84.200.154.155/
url,Unknown malware payload delivery URL (confidence level: 50%),https://84.200.24.181/
url,Lumma Stealer botnet C2 (confidence level: 50%),https://cityscapea.run/login
url,Hook botnet C2 (confidence level: 50%),http://87.120.166.174/
url,Hook botnet C2 (confidence level: 50%),http://20.191.194.222:3000/
url,Hook botnet C2 (confidence level: 50%),http://196.251.71.185/
url,Amadey botnet C2 (confidence level: 50%),http://45.93.20.224/pndj30vs11/login.php
ip-dst|port,Copybara botnet C2 server (confidence level: 50%),45.86.231.15|52997
url,Formbook botnet C2 (confidence level: 50%),http://www.58-pet-funeral-services-14.cfd/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.8068.locker/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.aki-spin.casino/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.alamalaenava.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.andalend.xyz/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.antx.buzz/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.assaustreetcapitalplanning.info/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.atvikxtt.tech/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.cskftyn.biz/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.deadirectiveconsultinghub.info/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.eagleinsuranceplans.fun/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.ealthcare-trends-76690.bond/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.earfat.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.eautyservicesrc.info/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.ebbidy.app/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.edralb.irish/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.endon.cloud/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.ental-implants-89727.bond/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.erratech.tech/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.estfreshmove.sbs/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.et1000.biz/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.etsumamoto.pro/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.ewtym.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.gmstudio.net/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.hatushyamcraneservice.online/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.icisuo6.pro/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.imalayanscent.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.k5004.casino/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.mnbeauty.net/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.mniscientnews.xyz/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.nepf.bid/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.ngfuwlofip.bond/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.niliidd.irish/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.nkywords6598.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.nsold-cars-tribe.today/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.oberwayenergy.net/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.one.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.ortop-corp.net/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.ouse136.click/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.oveworldquick.sbs/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.pioxc.xyz/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.qhelp.live/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.rbitswaves.info/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.reamsquad11fantasy.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.reenmounttravel.online/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.renddshop.shop/hm26/
url,Formbook botnet C2 (confidence level: 50%),http://www.rgent-loan-633032398.click/hm26/
