Type,Comment,Value
url,Latrodectus payload delivery URL (confidence level: 95%),https://ctrl.central.tech/wp-content/plugins/wp-file-upload/ogytyq.php?evgd=zp1tqpcj
url,Unknown malware botnet C2 (confidence level: 95%),https://sece.ismre-jup-ag.com/ngl9lvb0c5cecuzxonaxz93aysrvkvmzqnoqyerlrsodok18pxyik4iwyvdp6ijwhw3stwhjus8aa7cofbrmtbqgl5xv07znsfoj62tfpl4decultnyteppdhzzwtxijprj3d1q2m8uqf1iovm4aseamehk/verify
url,Unknown malware botnet C2 (confidence level: 95%),https://vhg.ismre-jup-ag.com/6z03slevzwxzfhui281oaktihfwxnufqb6bogcelmm9cploka0jwcsvubldkztqfoyg6r15sca7bp4m5btgosonim9eddyfhxujeqonv7djytxkr1ujsw3iaty7khbyfqvcr/verify
url,Unknown malware botnet C2 (confidence level: 95%),https://sece.ismre-jup-ag.com/8yjdigqz2x78abcruqi5vfcze6sons1ub6mtozosrkydvzbyfd0xhnmpiesmzelfnp4damkjtcti41xemgnfos9vw03rcoiqwy0nvkyoql79c3gaavwj9lujtpwagx2r5ekphkoxpob8b6devpr1qrzbhu3dhgqxjwwfscu/verify
url,Unknown malware botnet C2 (confidence level: 95%),https://o.ismre-jup-ag.com/efq8sfr9hxknljgh5k8qz1ayrpmw2o0yzuw5t9kbjyceosnkc6to7rnsiqyx0edcuazvjpab7obpvhoxbz2mdgo1mc5nw68cpuvrlvfgn6tfg7qinviixg43huoos1imsd3tgokusk4ubwvllc/verify
url,Unknown malware botnet C2 (confidence level: 95%),https://login.ismre-jup-ag.com/j2hwwgeqqsjdkmhfllbvagda4x1gzak0bxiejww13vz4fcrrremyololtu7onotuaw93nf8kbxog65lmpacliafzicohspovdpzvqvrrz568kj1tsynxdpsiht7fpwsqq0uz4yci7udo9y9jnyecck8b2tbrpxq65ubkhgde/verify
url,Unknown malware botnet C2 (confidence level: 95%),https://office.ismre-jup-ag.com/wvbz6uovtqpafjg49ji5l2kfnp0ozd4xuctbfsnav3ui53svkrlayrofvtdmd8zxwaggnw4nsoeheh0sn8bil7jki1xwvk9wkmqmrfr2qax1e3pqc6to8jrsp6boschpgo9wtqrfjucnqeme02dtjipakhy5xlzu7y/verify
url,Unknown malware botnet C2 (confidence level: 95%),https://dods.ismre-jup-ag.com/0aavcz0enwoqjjdhsvrrgd795xahmeuxfzijpqsrdheryht0pwwgs4gucgvcloxoi1owj9lnscyoqb6py58emk3zz8ouotlzti3qt2d1qmfgs9ilaboxuy41hlnmokbqbevjuk6lnxv27bfpzdysjaf/verify
url,Unknown malware botnet C2 (confidence level: 95%),https://o.ismre-jup-ag.com/mdeb7qctrvm7rnstszs8aipfxdphcyixj1nzjcfkivhe3bd1thwwiquo0rl3o42hu2lrkfzsunkabzxkcbxgtyc2jirfmj1ohtggdbpeaeulgoi9wjdwvsqh0wafx5exs6y98kgyu47/verify
domain,ClearFake payload delivery domain (confidence level: 100%),check.wygoq.icu
domain,ClearFake payload delivery domain (confidence level: 100%),check.tubyf.icu
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.36.4.116|2222
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),5.249.164.16|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),194.32.77.209|80
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),57.128.134.229|443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),62.133.60.136|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),62.133.60.136|2053
domain,Hook botnet C2 domain (confidence level: 100%),ec2-3-1-228-240.ap-southeast-1.compute.amazonaws.com
domain,Hook botnet C2 domain (confidence level: 100%),sms.qr-share.online
ip-dst|port,Hook botnet C2 server (confidence level: 100%),196.251.83.237|8089
ip-dst|port,Hook botnet C2 server (confidence level: 100%),103.68.195.14|8089
domain,Havoc botnet C2 domain (confidence level: 100%),havoccf.evilpony.win
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.homeremodel.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.gamesandufabetpro.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.artisansrealm.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.broadcnnewz.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.superbbusiness.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.eragamshub.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.cgibusiness.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.generalspotline.org
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.ufabetandcasinos.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpcontacts.gamesofufabet.website
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.bestgamesufabet.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.10bestgamesofufabet.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.stockmrtktlite.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.homesemupo.xyz
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.188.72.230|995
ip-dst|port,Brute Ratel C4 botnet C2 server (confidence level: 100%),52.198.46.216|80
ip-dst|port,Brute Ratel C4 botnet C2 server (confidence level: 100%),57.180.221.59|80
ip-dst|port,BianLian botnet C2 server (confidence level: 100%),109.73.207.39|443
url,DCRat botnet C2 (confidence level: 100%),http://vord1x1gma.temp.swtest.ru/pipeauthasynctemporary.php
domain,Loki Password Stealer (PWS) botnet C2 domain (confidence level: 75%),centrehotel.vn
url,Loki Password Stealer (PWS) botnet C2 (confidence level: 50%),http://centrehotel.vn:80
url,DCRat botnet C2 (confidence level: 100%),http://loveme123ru.ru/pipeauthmultiwordpress.php
url,DCRat botnet C2 (confidence level: 100%),http://89.111.152.13/1temporarydownloadsgeo/longpollgeobigload/private/8traffic/asyncauthcentral/protectsecure1/pipe/testmultibigloadmulti/api/cdnprocess/_/windows3/uploadseternal/php_bigloadlinuxwindowstemp.php
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),3.67.161.133|13420
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),3.71.225.231|14673
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),196.119.118.76|10000
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),193.161.193.99|43449
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),134.122.130.181|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),35.158.247.135|443
url,DCRat botnet C2 (confidence level: 100%),http://f1090540.xsph.ru/2b529375.php
ip-dst|port,NjRAT botnet C2 server (confidence level: 100%),173.45.117.247|6522
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),147.124.217.110|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),192.3.179.143|14645
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),216.219.80.142|6060
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),178.73.218.20|2404
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),138.197.14.247|4444
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),154.37.221.237|8000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),207.231.111.146|7707
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),23.158.232.33|3924
